procedure,proc_group
MIS L4-5 DISSECTOMY C PDS FIXATION,สาขา:ประสาทและสมอง
MIS L4-5 LAMINECTOMY C PDS,Spine
MIS L4-5 PDS FIXATION,สาขา:ประสาทและสมอง
MIS L4-5 PDS FIXATION WITH MICRODISCETOMY,สาขา:ประสาทและสมอง
MIS L4-S1 LAMINECTOMY WITH PDS FIXATION,Spine
MIS LAMINECTOMY C PDS FIXATION L5S1,Spine
MIS PDS C LAMINECTOMY L4-5,Spine
MIS TILF L4-5,สาขา:ประสาทและสมอง
MIS TILF L4/5,สาขา:ประสาทและสมอง
MIS TLIF L 345,Spine
MIS TLIF L 4-5,Spine
MIS TLIF L3/4 L4/5,Spine
MIS TLIF L345,Spine
MIS TLIF L4-5,Spine
MIS TLIF L4-5 WITH PDS FIXATION,Spine
MIS TLIF L4-L5,Spine
MIS TLIF L4/5,Spine
MIS TLIF L45,Spine
MIS TLIF L45S1,Spine
MIS TLIF L5-S1,Spine
MIS TLIF L5-S1 (+- L4-5),Spine
MIS TLIF L5/S1,Spine
MMF,สาขา:ตกแต่ง
MODIFIED CAPSO,สาขา:หู คอ จมูก
MODIFIED CAPSO+ RF NOSE,ENT
MODIFIED RADICAL MASTOIDECTOMY LT.,สาขา:หู คอ จมูก
MODIFIED RADICAL MASTOIDECTOMY RT,สาขา:หู คอ จมูก
MR- FUSION PROSTATE BIOPSY,Uro_other
MR- FUSION PROSTATE BIOSY UNDER GA,Uro_other
MRI - FUSION TRUS BX,Cystoscopy_URO
MRI -FUSION,Cystoscopy_URO
MRI FUSION BIOPSY,Cystoscopy_URO
MRI FUSION BX,Cystoscopy_URO
MRI FUSION BX (TRANPERINEUM),Cystoscopy_URO
MRI FUSION BX.,Cystoscopy_URO
MRI FUSION C BX,Cystoscopy_URO
MRI FUSION PROSTATE,Cystoscopy_URO
MRI FUSION PROSTATE BIOPSY,Cystoscopy_URO
MRI FUSION PROSTATE BX,Cystoscopy_URO
MRI FUSION TRU BX,Cystoscopy_URO
MRI FUSION TRUS - BIOPSY,Cystoscopy_URO
MRI FUSION TRUS BIOPSY,Cystoscopy_URO
MRI FUSION TRUS BX,Cystoscopy_URO
MRI FUSION TRUS-BX,Cystoscopy_URO
MRI FUSION TRUX BS,Cystoscopy_URO
MRI FUSION TRUX BX,Cystoscopy_URO
MRI FUSION WITH BX,Cystoscopy_URO
MRI FUSTION TRUX BX,สาขา:ทางเดินปัสสาวะ
MRI-FUSION,Cystoscopy_URO
MRI-TRUS FUSION BIOPSY,Cystoscopy_URO
MRI-TRUS FUSION PROSTATE BIOPSY,Cystoscopy_URO
MRI/TRUS-FUSION BX,Cystoscopy_URO
MRM C TRAM FLAP,Skin_softtissue
MUCOSECTOMY,สาขา:ลำไส้ใหญ่และทวารหนัก
MVD,สาขา:ประสาทและสมอง
MWA,สาขา:ศัลยกรรมทั่วไป
MWA AT LEFT THYROID MASS UNDER GA,Thyroid_neck
MWA AT LEFT THYROID MASS X 2,Thyroid_neck
MWA BOTH LOBE,สาขา:ศัลยกรรมทั่วไป
MWA RIGHT THYROID CYST,Thyroid_neck
MWA UNDER U/S GUIDED,สาขา:ศัลยกรรมทั่วไป
MYRINGOPLASTY,ENT
MYRINGOTOMY + TRIUNE INSERTION,ENT
MYRINGOTOMY + TRIUNE INSERTION (LA),ENT
MYRINGOTOMY C PE TUBE,ENT
NAIL EXTRACTION,สาขา:ศัลยกรรมทั่วไป
NAN,สาขา:หู คอ จมูก
NASAL ENDOSCOPE + REMOVE PACKING + STOP BLEEDING +- RT SPA LIGATION,สาขา:หู คอ จมูก
NASAL ENDOSCOPY + DL + BIOPSY,Skin_softtissue
NASAL ENDOSCOPY + DL + BIOPSY +- RT TONSILLECTOMY,ENT
NASAL ENDOSCOPY + OFF PACKING +- SPA LIGATION,สาขา:หู คอ จมูก
NASAL RECONSTRUCTION,สาขา:ตกแต่ง
NASAL TELE+CAUTERY,สาขา:หู คอ จมูก
NASAL TELE+OFF PACKING +- CAUTERY,สาขา:หู คอ จมูก
NASAL TELE+OFF PACKING +- LT SPA LIGATION,สาขา:หู คอ จมูก
NASAL TELE+STOP BLEEDING,สาขา:หู คอ จมูก
NEEDLE LOCALIZATION EXCISION,Skin_softtissue
NEEDLE LOCALIZATION RT BREAST MASS R12,Breast
NEEDLE LOCALIZE EXCISION,Skin_softtissue
NEEDLE LOCALIZE EXCISION LT BREAST,Breast
NEEDLE LOCALIZE EXCISION LUOQ,Skin_softtissue
NEEDLE LOCALIZED EXCISION,Skin_softtissue
NEEDLE LOCALIZED EXCISION LT,Skin_softtissue
NEEDLE LOCALIZED EXCISION LT BREAST (OPTIME 2 HR),Breast
NEEDLE LOCALIZED EXCISION LT.BREAST WITH LT.AXILLARY LN SAMPLING,Breast
NEEDLE LOCALIZED EXCISION RILQ ABNORMAL CALCIFICATION,Skin_softtissue
NEEDLE LOCALIZED EXCISION RT BREAST,Breast
NEEDLE LOCALIZED EXCISIONAL BIOPSY AT SEGMENTAL CALCIFICATION RT LIQ,Skin_softtissue
NERVE EXPLORETION ( BUCCAL BR OF RT FACIAL N.),สาขา:ตกแต่ง
NIP BONE + SUTURE WOUND,Skin_softtissue
NLE BOTH BREAST,Breast
NLE LEFT BREAST,Breast
NLE LT BREAST,Breast
NLE RT BREAST,Breast
NLE WITH SLNB BOTH BREAST,Breast
NONEXICISIONAL DEBRIDEMENT,Skin_softtissue
NV FLAP RT 2 ND FINGER AND CLOSE STUMP RT 3RD FINGER UNDER BPB,Skin_softtissue
OC,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OC + IOC,สาขา:ศัลยกรรมทั่วไป
OC + REPAIR SB + CHOLANGIOGRAM + FROZEN SECTION CYSTIC DUCT MARGIN +/- PYLORIC EXCLUSION GJA +/- WHIPPLE???,Vascular_interv
"OC + WEDGE LIVER SEGMENT 4B,5",Hepatobiliary
OCHIECTOMY,สาขา:ทางเดินปัสสาวะ
OEPN SUBTOTAL GASTRECTOMY WITH D2 LYMPHADENECTOMY WITH PERITONEAL LAVAGE,GI_abdominal
OFF ARCH BAR,สาขา:ตกแต่ง
OFF CHEMOPERT,สาขา:ลำไส้ใหญ่และทวารหนัก
OFF DJ,สาขา:ทางเดินปัสสาวะ
OFF DJ RT,สาขา:ทางเดินปัสสาวะ
OFF DJ STENT,Vascular_interv
OFF DJ STENT +-CIRCUMCISION,Uro_other
OFF DJ STENT LT,Vascular_interv
OFF DJ STENT UNDER LA,Vascular_interv
OFF DJ STENT UNDER SEDATE,Vascular_interv
OFF DJ STENT UNDER TIVA,Vascular_interv
OFF DJ STENT+ CHANGE BILAT DJ STENT UNDER GAIV,Vascular_interv
OFF IVC FILTER,สาขา:หลอดเลือด
OFF LEFT DJ,สาขา:ทางเดินปัสสาวะ
OFF LEFT DJ STENT FLEXIBLE,Vascular_interv
OFF LT DJ STENT,Vascular_interv
OFF LT. DJ STENT,Vascular_interv
OFF PERM CATH,Vascular_access
"OFF RT, DJ STENT",Vascular_interv
OFF RT. CHEMOPORT,Central_line
OFF RT. DJ STENT,Vascular_interv
OFF RT. RJ STENT,Vascular_interv
OFF TANKOFF,สาขา:ศัลยกรรมทั่วไป
OFF TCC,สาขา:หลอดเลือด
OFF TCC + FISTULOGRAM +/- PTA,Vascular_access
OFF TCC + PTA,สาขา:หลอดเลือด
OFF TCC RT IJV,Central_line
"OFF TCC RT IJV , TCC LT IJV CENTROS",Central_line
OFF TCC RT IJV ON BILINTA,Central_line
OFF TCC RT. IJV,Central_line
OFF TCC RT.IJV UNDER LA,Central_line
"OFF TCC, FISTULOGRAM +/- PTA",Vascular_access
OFF TK,สาขา:ศัลยกรรมทั่วไป
OP : RT. OCCIPITAL CRANIOTOMY WITH TUMOR REMOVAL,Neuro_cranial
OPE LT THYROIDECTOMY,Thyroid_neck
OPEN & DRAINAGE,สาขา:ศัลยกรรมทั่วไป
OPEN ABD WALL HERNIA REPAIR,GI_abdominal
OPEN ABDOMINAL AORTIC ANEURYSMORRHAPHY,สาขา:หลอดเลือด
OPEN ANEURYSMORHAPPHY USING BIFURCATED GRAFT/TUBE GRAFT,Skin_softtissue
OPEN ANEURYSMORRHAPHY WITH TUBE GRAFT,Skin_softtissue
OPEN ANTERIOR RESECTION,GI_abdominal
OPEN APPENDECTOMY,GI_abdominal
OPEN AR,สาขา:ลำไส้ใหญ่และทวารหนัก
OPEN AR +/- DLI,สาขา:ศัลยกรรมทั่วไป
OPEN AR WITH CYSTECTOMY WITH ILEAL CONDUIT,สาขา:ลำไส้ใหญ่และทวารหนัก
OPEN AR WITH IOUS,สาขา:ลำไส้ใหญ่และทวารหนัก
OPEN AR WITH TAH AND BSO WITH +/- SMALL BOWEL RESECTION +/- WEDGE BLADDER,GI_abdominal
OPEN AR WITH WEDGE LIVER RESECTION S7,Hepatobiliary
OPEN BILAT NEPHRECTOMY,Uro_other
OPEN BILATERAL HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN BIOPSY AT S1,Skin_softtissue
OPEN BIOPSY OF LARYNX OR TRACHEA,Skin_softtissue
OPEN BIOPSY OF TONGUE,Skin_softtissue
OPEN BX.,สาขา:ตกแต่ง
OPEN BY PASS FROM FA TO P3,สาขา:หลอดเลือด
OPEN C WEDGE RESECTION RUL MASS,Skin_softtissue
OPEN CHOLCYSTECTOMY +- REPAIR CBD,Hepatobiliary
OPEN CHOLECYSTECTOMY,Hepatobiliary
OPEN CHOLECYSTECTOMY +/- REPIAR CBD,Hepatobiliary
OPEN CHOLECYSTECTOMY C IOC,Hepatobiliary
OPEN CHOLECYSTECTOYMY +- S2 WEDGE LIVER RESECTION,Hepatobiliary
OPEN CHOLECYTECTOMY,Hepatobiliary
OPEN COMPLETION LEFT THYROIDECTOMY,Thyroid_neck
OPEN COMPLETION LEFT THYROIDECTOMY WITH CENTRAL LN DISSECTION,Thyroid_neck
OPEN COMPLETION LEFT THYROIDECTOMY WITH CND,Thyroid_neck
OPEN COMPLETION LEFT THYROIDECTOMY WITH LEFT CND AND FROZEN SECTION LYMPH NODE LEVEL 3 AT LEFT SIDE +/- LEFT MRND,Thyroid_neck
OPEN COMPLETION PARATHYROIDECTOMY LT SCM + FROZEN SECTION เคสแรก** เครียมเครื่อง USG,Thyroid_neck
OPEN COMPLETION RIGHT THYROIDECTOMY,Thyroid_neck
OPEN COMPLETION RIGHT THYROIDECTOMY WITH BILAT. CND,Thyroid_neck
OPEN COMPLETION RIGHT THYROIDECTOMY WITH NIMS,Thyroid_neck
OPEN COMPLETION RT THYROIDECTOMY,Thyroid_neck
OPEN COMPLETION THYROIDECTOMY,Thyroid_neck
OPEN CYSTOLITHOTOMY,Cystoscopy_URO
OPEN DECORTICATED LT CHEST,สาขา:ทรวงอก
OPEN DISTAL PANCREATECOMY WITH SPLENIC PRESERVATION WITH EGD,Endoscopy_GI
OPEN DISTAL PANCREATECTOMY,Hepatobiliary
OPEN DISTAL PANCREATECTOMY + SPLENECTOMY,Hepatobiliary
"OPEN DP, WARSHAW TECHNIQUE",สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN DRAINAGE +/- ORCHIDECTOMY,Uro_other
OPEN DRAINAGE WITH EL,สาขา:ศัลยกรรมทั่วไป
OPEN ERHC,สาขา:ลำไส้ใหญ่และทวารหนัก
"OPEN ESOPHAGOGASTRECTOMY WITH SB RECONSTRUCTION , INTRAOP FROZEN",GI_abdominal
OPEN EXTENDED CHOLECYSTECTOMY,Hepatobiliary
OPEN EXTENDED CHOLECYSTECTOMY +/- EN BLOC COLON RIGHT SIDE,Hepatobiliary
OPEN EXTENDED RIGH HEMICOLECTOMY,GI_abdominal
OPEN FEEDING JEJUNOSTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN GASTROSTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN GASTROSTOMY INSERTION,สาขา:ศัลยกรรมทั่วไป
OPEN GASTROTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN GRAFT AND CHANGE VAC,Skin_softtissue
OPEN HEMORRHOIDECTOMY,Anorectal
OPEN HENIOPLASTY,สาขา:ศัลยกรรมทั่วไป
"OPEN HERNIA REPAIR, RIGHT",GI_abdominal
OPEN HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN HERNIOPLASTY LT,สาขา:ศัลยกรรมทั่วไป
OPEN HERNIOPLASTY RT,สาขา:ศัลยกรรมทั่วไป
OPEN HERNIOPLASTY RT SIDE,สาขา:ศัลยกรรมทั่วไป
OPEN INCISIONAL HERNIA REPAIR,GI_abdominal
OPEN L3/4 L4/5 PDS C LAMINECTOMY,Spine
OPEN LAR,GI_abdominal
OPEN LAR + CYSTECTOMY + ILEAL CONDUIT + S3 SACRECTOMY + PERINEAL RESECTION,GI_abdominal
OPEN LAR + DIVERTING LOOP COLOSTOMY,GI_abdominal
OPEN LAR + LT NEPHRECTOMY,Uro_other
OPEN LAR + VAGINECTOMY + DIVERT LOOP TRANSVERSE COLOSTOMY,GI_abdominal
"OPEN LAR + WEDGE LIVER S6,8",Hepatobiliary
OPEN LAR +- APR,GI_abdominal
OPEN LAR +/- DLI WITH INTRA OP COLONOSCOPY,Endoscopy_GI
OPEN LAR +/-APR,GI_abdominal
OPEN LAR C HAARTMAN (END COLOSTOMY),GI_abdominal
OPEN LAR WITH LOOP PROXIMAL TRANSVERSE COLOSTOMY WITH WEDGE BLADDER +/- CYSTECTOMY WITH ILEAL CONDUIT,GI_abdominal
OPEN LAR WITH LT NEPHRECTOMY,Uro_other
OPEN LEFT ADRENALECTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN LEFT HEPATECTOMY,Hepatobiliary
OPEN LEFT HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN LEFT HERNIOPLASTY WITH UMBILICAL HERNIA REPAIR,GI_abdominal
OPEN LEFT HERNIORRHAPHY,สาขา:ลำไส้ใหญ่และทวารหนัก
OPEN LEFT LATERAL SEGMENTECTOMY,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN LEFT LOWER AND UPPER PARATHYROIDECTOMY UNDER GA,Thyroid_neck
OPEN LEFT LOWER PARATHYROIDECTOMY +/- LEFT UPPER PARATHYROIDECTOMY,Thyroid_neck
OPEN LEFT LYMPH NODE FROZEN SECTION +/- COMPLETION THYROIDECTOMY AND LEFT MRND,Thyroid_neck
OPEN LEFT NEPHRECTOMY,Uro_other
OPEN LEFT SUBSTERNAL THYROID RESECTION WITH LEFT THYROID LOBECTOMY AND ISTHMECTOMY,Thyroid_neck
OPEN LEFT SUPERFICIAL PAROTIDECTOMY AND OPEN TOTAL THYROIDECTOMY,Thyroid_neck
OPEN LEFT THORACOTOMY AND LLLOBECTOMY,สาขา:ทรวงอก
OPEN LEFT THYROID LOBECTOMY,Thyroid_neck
OPEN LEFT THYROID LOBECTOMY AND ISTHMECTOMY,Thyroid_neck
OPEN LEFT THYROIDECTOMY,Thyroid_neck
OPEN LEFT THYROIDECTOMY AND ISTHMECTOMY,Thyroid_neck
OPEN LEFT UPPER AND LOWER PARATHYROIDECTOMY,Thyroid_neck
OPEN LHC,GI_abdominal
OPEN LHC WITH DJ STENT INSERTION,Vascular_interv
OPEN LHC WITH OPEN S6 SEGMENTECTOMY,GI_abdominal
OPEN LIVER S6 RESECTION,Hepatobiliary
OPEN LIVER SEGMENT 8 RESECTION,Hepatobiliary
OPEN LT HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN LT HERNIOPLASTY (OPTIME1.5HR),สาขา:ศัลยกรรมทั่วไป
OPEN LT LOBECTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN LT THYROID LOBECTOMY,Thyroid_neck
OPEN LT THYROIDECTOMY,Thyroid_neck
OPEN LT. HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN LT. RADICAL NEPHRECTOMY,Uro_other
OPEN LT. THORACOTOMY WITH PERICARDIAL WINDOW,สาขา:โรคหัวใจ
OPEN LT. THYROID LOBECTOMY,Thyroid_neck
OPEN LT.HERNIOPLASTY,สาขา:ลำไส้ใหญ่และทวารหนัก
OPEN LUL LOBECTOMY WITH FROZEN SECTION WITH LYMPHNODES RESECTION +- LPAPLASTY,สาขา:ทรวงอก
OPEN NEPHRECTOMY,Uro_other
OPEN NOVASPINE L4/5 PDS C LAMINECTOMY,Spine
OPEN PANCREATICODUODENECTOMY,Hepatobiliary
OPEN PDS FIXATION T9-L1,สาขา:ประสาทและสมอง
OPEN RADICAL CYSTECTOMY WITH ILEAL CONDUIT,สาขา:ทางเดินปัสสาวะ
OPEN RADICAL NEPHRECTOMY นอกเวลา,Uro_other
"OPEN RAMPS (PANCREATECTOMY, SPLENECTOMY, TISSUE RESECTION, LND > ANTR RAMPS)",สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN REDUCTION NASAL BONE,Fracture_fixation
OPEN REMNANT CHOLECYSTECTOMY,Hepatobiliary
OPEN REPAIR,สาขา:หลอดเลือด
OPEN REPAIR AAA,สาขา:หลอดเลือด
OPEN REPAIR DIAPHRAGMATIC HERNIA,GI_abdominal
OPEN REPAIR HERNIA,GI_abdominal
OPEN REPAIR HERNIA RT,GI_abdominal
"OPEN REPAIR HERNIA, GYNE ทำ SO ต่อ SET เป็น CASE สุดท้าย",GI_abdominal
OPEN REPAIR INCISIONAL HERNIA,GI_abdominal
OPEN REPAIR UMBILICAL HERNIA,GI_abdominal
OPEN REVISION NECK UNDER GA,สาขา:ศัลยกรรมทั่วไป
OPEN RH,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN RHC,GI_abdominal
OPEN RHC + IOUS,GI_abdominal
OPEN RHC +/- OC,GI_abdominal
OPEN RHC+- REPAIR DUODENUM,GI_abdominal
OPEN RIB RESECTION WITH RECONSTRUCTION WITH PLATE AND SCREW,สาขา:ทรวงอก
OPEN RIGHT ADRENALECTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN RIGHT ANTERIOR SECTIONECTOMY,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN RIGHT HEPATECTOMY,Hepatobiliary
OPEN RIGHT HEPATECTOMY+S1+BDR+LND,Hepatobiliary
OPEN RIGHT HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN RIGHT HERNIOPLASTY (OPTIME1.5HR),สาขา:ศัลยกรรมทั่วไป
OPEN RIGHT HERNIOPLASTY WITH MESH GRAFT,Skin_softtissue
OPEN RIGHT LOWER LOBECTOMY,สาขา:โรคหัวใจ
OPEN RIGHT LOWER PARATHYROIDECTOMY +/- UPPER GLAND,Thyroid_neck
OPEN RIGHT NEPHRECTOMY,Uro_other
OPEN RIGHT PARATHYROIDECTOMY UNDER GA,Thyroid_neck
"OPEN RIGHT POSTERIOR SECTIONECTOMY + WEDGE S4,8 +/- OC",สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN RIGHT RADICAL NEPHRECTOMY WITH WEDGE IVC,Uro_other
OPEN RIGHT SUBSTERNAL THYROIDECTOMY,Thyroid_neck
OPEN RIGHT SUBSTERNAL THYROIDECTOMY AND ISTHMECTOMY,Thyroid_neck
OPEN RIGHT SUBSTERNAL THYROIDECTOMY WITH ISTHMECTOMY,Thyroid_neck
OPEN RIGHT THYRIOD LOBECTOMY WITH RIGHT PARATHYRIODECTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN RIGHT THYROID LOBECTOMY,Thyroid_neck
OPEN RIGHT THYROID LOBECTOMY AND ISTHMECTOMY,Thyroid_neck
OPEN RIGHT THYROID LOBECTOMY AND PARATHYROIDECTOMY,Thyroid_neck
OPEN RIGHT THYROID LOBECTOMY WITH ISTHMECTOMY UNDER GA,Thyroid_neck
OPEN RIGHT THYROID LOBECTOMY WITH RIGHT UPPER AND LOWER PARATHYROIDECTOMY,Thyroid_neck
OPEN RIGHT THYROIDECTOMY,Thyroid_neck
OPEN RIGHT THYROIDECTOMY WITH BILATERAL PARATHYROIDECTOMY,Thyroid_neck
OPEN RIGHT THYROIDECTOMY WITH ISTHMECTOMY,Thyroid_neck
OPEN RIGHT THYROIDECTOMY WITH ISTHMECTOMY +/- CND,Thyroid_neck
OPEN RIGHT TRISECTIONECTOMY+CAUDATE LOBECTOMY+PV RESECTION WITH RECONSTRUCTION+BILE DUCT RESECTION+LYMPHNODE DISSECTION+ROU-EN Y HEPATICOJEJUNOSTOMY,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN RIGHT UPPER AND LOWER PARATHYROIDECTOMY,Thyroid_neck
OPEN RIGHT UPPER AND LOWER PARATHYROIDECTOMY +/- LEFT LOWER PARATHYROIDECTOMY,Thyroid_neck
OPEN RIGHT UPPER AND LOWER PARATHYROIDECTOMY WITH OPEN LEFT THYROID LOBECTOMY UNDER GA,Thyroid_neck
OPEN RIGHT UPPER PARATHYROIDECTOMY UNDER GA,Thyroid_neck
OPEN RT HEMICOLECTOMY,GI_abdominal
OPEN RT HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN RT HERNIOPLASTY (OPTIME1.5HR),สาขา:ศัลยกรรมทั่วไป
OPEN RT POSTERIOR SECTIONECTOMY,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN RT POSTERIOR SEGTIONECTOMY,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN RT RADICAL NEPHRECTOMY,Uro_other
OPEN RT THYROID LOBECTOMY,Thyroid_neck
OPEN RT THYROIDECTOMY,Thyroid_neck
OPEN RT THYROIDECTOMY C ISTHMECTOMY,Thyroid_neck
OPEN RT. HERNIOPLASTY,สาขา:ศัลยกรรมทั่วไป
OPEN RT. LOWER PARATHYROIDECTOMY +/- RT. THYROIDECTOMY,Thyroid_neck
OPEN RT. RADICAL NEPHRECTOMY,Uro_other
OPEN RT. THORACOTOMY WITH WEDGE EXCISION OR INCISIONAL BIOPSY RLL,Skin_softtissue
OPEN RT. THYROIDECTOMY,Thyroid_neck
OPEN RT.HERNIOPLASTY,GI_abdominal
OPEN S8 RESECTION,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN SEGMENT 4 RESECTION + DROP COLOSTOMY,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
"OPEN SEGMENTECTOMY 5,6 + OC",สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN SEGMENTECTOMY S4B 5,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
OPEN SEGMENTECTOMY S6&8,สาขา:ศัลยกรรมทั่วไป
OPEN SIGMOIDECTOMY,Endoscopy_GI
"OPEN SIGMOIDECTOMY + SIMULTANEOU SWEDGE LIVER S5,6,7",Endoscopy_GI
OPEN SIGMOIDECTOMY + WEDGE LIVER RESECTION S6 +/- PARAAORTIC LN RESECTION,Endoscopy_GI
OPEN SIGMOIDECTOMY C WEDGE BLADDER +/- ILEAL CONDUIT,Endoscopy_GI
OPEN SIGMOIDECTOMY WITH WEDGE BLADDER WITH URITERIC STENT,Endoscopy_GI
OPEN SIGMOIDECTOMY WITH WEDGE LIVER S7,Endoscopy_GI
OPEN SISTRUNK OPERATION,สาขา:ศัลยกรรมทั่วไป
OPEN SPLENECTOMY,สาขา:ศัลยกรรมทั่วไป
OPEN SUBTOTAL COLECTOMY,GI_abdominal
OPEN SUBTOTAL COLECTOMY + HIPEC,GI_abdominal
OPEN SUBTOTAL PARATHYROIDECTOMY,Thyroid_neck
OPEN SUBTOTAL PARATHYROIDECTOMY UNDER GA,Thyroid_neck
OPEN THORACOTOMY WITH DECORTICATE RIGHT LUNG,สาขา:ทรวงอก
OPEN THORACOTOMY WITH PLEURAL DRAINAGE +/- DECORTICATE,สาขา:ทรวงอก
OPEN THORACOTOMY WITH PLEURAL DRAINAGE RT LUNG,สาขา:ทรวงอก
OPEN THYROID CYST RESECTION WITH ISTHMUSECTOM,Thyroid_neck
OPEN THYROIDECTOMY RT,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AT TO LEFT FOREARM UNDER GA,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH ATX TO LEFT FOREARM,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH ATX TO RIGHT FOREARM,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH ATX TO RT FOREARM,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AUTOTRANSPLANT,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AUTOTRANSPLANT TO LT. FOREARM,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AUTOTRANSPLANTATION TO LEFT FOREARM,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AUTOTRANSPLANTATION TO RIGHT FOREARM,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AUTOTRANSPLANTATION TO RIGHT FOREARM +/- MEDIAN STERNOTOMY,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITH AUTOTRANSPLANTATION TO RIGHT FOREARM UNDER GA,Thyroid_neck
OPEN TOTAL PARATHYROIDECTOMY WITHOUT AUTOTRANSPLANTATION (+/- MEDIAN STERNOTOMY),Thyroid_neck
OPEN TOTAL THYRIODECTOMY WITH RT MRND WITH BILATERAL CND,สาขา:ศัลยกรรมทั่วไป
OPEN TOTAL THYROIDECTMY,Thyroid_neck
OPEN TOTAL THYROIDECTOMY,Thyroid_neck
OPEN TOTAL THYROIDECTOMY (UNCONTROLLED),Thyroid_neck
OPEN TOTAL THYROIDECTOMY + CENTRAL NODE,Thyroid_neck
OPEN TOTAL THYROIDECTOMY +/- BILAT CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY +/- CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY +/- RIGHT CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY +/-CND +/-LT MRND +/- GASTROSTOMY +/-TRACHEOSTOMY,Thyroid_neck
OPEN TOTAL THYROIDECTOMY C CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH BILAT. CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH BILAT. CND WITH 4 GLANDS PARATHYROID EXPLORATION AND PARATHYROIDECTOMY,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH BILATERAL CENTRAL NECK DISSECTION,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH BILATERAL CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH BILATERAL CND + RT.MRND+RT.IJV RESECTION +/- TRACHEOSTOMY,Central_line
OPEN TOTAL THYROIDECTOMY WITH BILATERAL PROPHYLACTIC CND WITH RIGHT MRND WITH LEFT LN BIOPSY---> FROZEN,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH LEFT UPPER AND LOWER PARATHYROIDECTOMY,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH LN DISSECTION,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH LN LEVEL 6 DISSECTION,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH PROPHYLACTIC BILATERAL CENTRAL NECK DISSECTION,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH PROPHYLACTIC CENTRAL NECK DISSECTION,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH PROPHYLACTIC CND,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH RIGHT PARATHYROIDECTOMY WITH ATX TO RIGHT FOREARM,Thyroid_neck
OPEN TOTAL THYROIDECTOMY WITH SUBTOTAL PARATHYROIDECTOMY,Thyroid_neck
OPEN TOTAL TOETVA,Thyroid_neck
OPEN TTD,สาขา:ศัลยกรรมทั่วไป
