procedure,proc_group
AMPUTATION RIGHT BIG TOE,สาขา:ศัลยกรรมทั่วไป
"AMPUTATION RIGHT GREAT TOE, DB LEFT HEEL",สาขา:หลอดเลือด
AMPUTATION RT 2ND TOE,สาขา:ศัลยกรรมทั่วไป
AMPUTATION RT BIGTOE,สาขา:ศัลยกรรมทั่วไป
AMPUTATION RT TOES (OP TIME 1.5 HR),สาขา:ศัลยกรรมทั่วไป
AMPUTATION RT. 3RD FINGER,สาขา:ศัลยกรรมทั่วไป
AMPUTATION RT.2ND TOE,สาขา:หลอดเลือด
ANAL BIOPSY,Anorectal
ANAL DILATATION,Anorectal
ANAL DILATE,Anorectal
ANAL FISTULA,Vascular_access
ANAL FISTULECTOMY,Vascular_access
ANAL STRICTUROPLASTY,Anorectal
ANEURYMECTOMY,สาขา:หลอดเลือด
ANEURYSMECTOMT,สาขา:หลอดเลือด
ANEURYSMECTOMY,สาขา:หลอดเลือด
ANEURYSMECTOMY + AVF LT.CUBITAL,Vascular_access
ANEURYSMECTOMY + AVF RT CUBITAL,Vascular_access
ANEURYSMECTOMY + REPAIR LT. BRACHIAL ARTERY,สาขา:ศัลยกรรมทั่วไป
ANEURYSMECTOMY + REPAIR LT.RADIAL A. + AVF LT.CUBITAL 20/3/66,Vascular_access
ANEURYSMECTOMY + REPAIRED BRACHIAL ARTERY,สาขา:หลอดเลือด
ANEURYSMECTOMY +- REMOVE AVBG LT ARM,Vascular_access
ANEURYSMECTOMY +REPAIR LT BRACHIAL A,สาขา:หลอดเลือด
ANEURYSMECTOMY AT RT UPPER ARM,สาขา:หลอดเลือด
ANEURYSMECTOMY C AVF LEFT CUBITAL,Vascular_access
ANEURYSMECTOMY LT,สาขา:หลอดเลือด
ANEURYSMECTOMY LT ARM + TCC RT IJV [+/- LT IJV],Central_line
ANEURYSMECTOMY LT AVF,Vascular_access
ANEURYSMECTOMY LT.,สาขา:หลอดเลือด
ANEURYSMECTOMY RIGHT UPPER ARM,สาขา:หลอดเลือด
ANEURYSMECTOMY RT,สาขา:หลอดเลือด
ANEURYSMECTOMY RT ARM,สาขา:หลอดเลือด
ANEURYSMECTOMY RT UPPER ARM,สาขา:หลอดเลือด
ANEURYSMECTOMY UNDER LT.BPB,สาขา:หลอดเลือด
ANEURYSMECTOMY WITH PRIMARY REPAIR AT LT.RADIAL ARTERY,สาขา:หลอดเลือด
ANEURYSMECTOMY WITH PRIMARY REPAIR RT.RADIAL A. +/- INTERPOSTION WITH RT.BASILIC VEIN GRAFT,Skin_softtissue
ANEURYSMECTOMY WITH REPAIRED BRACHIAL ARTERY,สาขา:หลอดเลือด
ANEURYSMECTOMY WITH REVISE AVF,Vascular_access
"ANEURYSMECTOMY WITH TCC LT IJV , CENTROS",Central_line
ANEURYSMECTOMY WITH TCC RT IJV,Central_line
"ANEURYSMECTOMY WITH TCC RT IJV , HEMOFLOW",Central_line
ANEURYSMECTOMY เหลือ STUMP PROXIMAL,สาขา:หลอดเลือด
ANEURYSMECTOMY+/- REPAIR LT BRACHIAL A.,สาขา:หลอดเลือด
ANEURYSMECTOMY+REPAIRED BRACHIAL ARTERY,สาขา:หลอดเลือด
"ANEURYSMECTOMY+TCC LT IJV ,HEMOFLOW",Central_line
ANEURYSMORRHAPHY,สาขา:หลอดเลือด
ANGIOGRAM +- BALLON RT. LEG,Vascular_interv
ANGIOGRAM +- BALLOON ANGIOPLASTY RT RENAL ARTERY,Vascular_interv
ANGIOGRAM +/- BALLOON ANGIOPLASTY BTK,Vascular_interv
ANGIOGRAM +/- PTA LEFT ARM,Vascular_interv
ANGIOGRAM +/- PTA RT LEG,Vascular_interv
ANGIOGRAM BOTH LEGS,Vascular_interv
ANGIOGRAM LT LEG,Vascular_interv
ANGIOGRAM WITH BALLOON ANGIOPLASTY WITH REVICE TCC RT SC,Vascular_interv
ANGIOGRAM WITH PTA (DOWNHILL),Vascular_interv
ANGIOGRAM+- EMBOLEC +- REPAIR LT LEG,Vascular_interv
ANGIOGRAM+PTA,Vascular_interv
ANGIOGRAM+PTA LEFT ARM,Vascular_interv
ANGIOPLASTY RT LEG,Vascular_interv
ANGIOPLASTY RT LEG ( CROSSOVER ),Vascular_interv
ANGIOPLASTY WITH STENT,Vascular_interv
