variant,canonical
SYMPTOMATIC GS,SYMPTOMATIC GS
R O INFLOW STENOSIS,R O INFLOW STENOSIS
CHRONIC CHOLECYSTITIS,CHRONIC CHOLECYSTITIS
DDKT,DDKT
RECTAL CANCER,RECTAL CANCER
ERSD,ERSD
OUTFLOW STENOSIS,LT OUTFLOW STENOSIS
HAEMATURIA,HEMATURIA
CA ESOPHAGUS,CA ESOPHAGUS
UNILATERAL OR UNSPECIFIED INGUINAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE,UNILATERAL OR UNSPECIFIED INGUINAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE
BPH WITH AUR,BPH WITH AUR
UGIB,UGIB
RECTAL POLYP,RECTAL POLYP
ANEMIA,ANEMIA
PERICARDIAL EFFUSION,PERICARDIAL EFFUSION
LEFT CA BREAST S P NEOADJUVANT CHEMOTHERAPY,LEFT CA BREAST S P NEOADJUVANT CHEMOTHERAPY
INFRARENAL AAA,INFRARENAL AAA
LT OME,LT OME
ANAL POLYP,ANAL POLYP
LT INGUINAL HERNIA,RT INGUINAL HERNIA
ESRD WITH AVF STENOSIS,ESRD WITH AVF STENOSIS
PITUITARY ADENOMA,PITUITARY ADENOMA
CHRONIC RHINITIS,CHRONIC RHINITIS
THYROGLOSSAL DUCT CYST,THYROGLOSSAL DUCT CYST
CVI C2S LT LEG,CVI C2S LT LEG
INFECTED BEDSORE,INFECTED BEDSORE
RIGHT BREAST CANCER,RIGHT CA BREAST
R O URETHRAL STRICTURE,R O URETHRAL STRICTURE
PARAFINOMA,PARAFFINOMA
CEA RISING,CEA RISING
HNP L4 5,HNP L4 5
NF RT FOOT,NF RT FOOT
VC,VC
MULTIPLE THYROID NODULES,MULTIPLE THYROID NODULES
BPH LUTS,BPH LUTS
PTOSIS UPPER AND LOWER EYELID,PTOSIS UPPER AND LOWER EYELID
COMBINE HEMORRHOID,COMBINED HEMORRHOID
RT RENAL MASS,RT RENAL MASS
CKD,CKD
MULTINODULAR GOITER,MULTINODULAR GOITER
MALE CONTRACEPTIVE MANAGEMENT,CONTRACEPTIVE MANAGEMENT
ANAL CONDYLOMA,ANAL CONDYLOMA
BPH WITH VC,BPH WITH VC
CBD STONE,CBD STONE
PITUITARY MACROADENOMA,PITUITARY MACROADENOMA
CALCULUS OF URETER,CALCULUS OF URETER
MALIGNANT NEOPLASM OF LARYNX GLOTTIS,MALIGNANT NEOPLASM OF LARYNX GLOTTIS
RIGHT THYROID NODULE,RT THYROID NODULE
BENIGN NEOPLASM OF TONGUE,BENIGN NEOPLASM OF TONGUE
ATH,ATH
BILATERAL BREAST MASS,BILATERAL BREAST MASS
LT CEPHALIC VEIN STENOSIS,CEPHALIC VEIN STENOSIS
SEVERE DYSPEPSIA,SEVERE DYSPEPSIA
THROMBOSE AVF,THROMBOSE AVF
LT DJ STENT,RT DJ STENT
RT DISTAL UC,RT DISTAL UC
GERD,GERD
BAGGY EYELID,BUGGY EYELID
LT INFLOW STENOSIS,LT INFLOW STENOSIS
LIPOMA,LIPOMA
RT OME,RT OME
CA RT BREAST,RIGHT CA BREAST
PTOSIS UPPER LOWER EYELID,PTOSIS UPPER AND LOWER EYELID
SIGMOID CANCER,SIGMOID CANCER
CKD V,CKD V
BPH HIGH PSA,BPH C HIGH PSA
SEB K,SEB K
ESRD WITH JUXTA ANASTOMOSIS STENOSIS,ESRD WITH JUXTA ANASTOMOSIS STENOSIS
LOCALIZED SWELLING MASS AND LUMP HEAD,LOCALIZED SWELLING MASS AND LUMP HEAD
ACUTE CHOLANGITIS,ACUTE CHOLANGITIS
LT BREAST CANCER,LT BREAST CANCER
RECURRENT CYSTITIS,RECURRENT CYSTITIS
RT INDIRECT INGUINAL HERNIA,RT INDIRECT INGUINAL HERNIA
BEDSORE AT COCCYX,BEDSORE AT COCCYX
L3 4 5 SPONDYLOSIS,L4 5 SPONDYLOSIS
MNG,MNG
MUCOCELE OF SALIVARY GLAND,MUCOCELE OF SALIVARY GLAND
MORBID OBESITY,MORBID OBESITY
INCLUSION CYST,INCLUSION CYST
THROMBOSED AVF LT CUBITAL,THROMBOSED AVF LT CUBITAL
NF LT FOOT,NF LT FOOT
R O LT OUTFLOW STENOSIS,R O OUTFLOW STENOSIS
RT SINUSITIS,RT SINUSITIS
ESRD WITH OUTFLOW STENOSIS,ESRD WITH OUTFLOW STENOSIS
RT DIH,RT DIH
CKD STAGE 5,CKD STAGE 5
RIGHT CA BREAST S P NEOADJUVANT CHEMOTHERAPY,RIGHT CA BREAST S P NEOADJUVANT CHEMOTHERAPY
RUL NODULE,RUL NODULE
CA STOMACH,CA STOMACH
RT CA BREAST,RIGHT CA BREAST
SIALOLITHIASIS,SIALOLITHIASIS
MASS AT BACK,MASS AT BACK
MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED PARTS OT TONGUE BORDER OF TONGUE,MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED PARTS OT TONGUE BORDER OF TONGUE
ANKYLOGLOSSIA,ANKYLOGLOSSIA
R O INFLOW STENOSIS LT,R O INFLOW STENOSIS
OUTFLOW STENOSIS LT,LT OUTFLOW STENOSIS
DNS WITH ITH,DNS WITH ITH
R O CA RECTUM,R O CA RECTUM
HIGH CEA,HIGH CEA
LIPOMA AT BACK,LIPOMA AT BACK
CA SIGMOID S P LAP SIGMOIDECTOMY,CA SIGMOID S P LAP SIGMOIDECTOMY
CA RECTOSIGMOID COLON,CA RECTOSIGMOID COLON
BRAIN TUMOR,BRAIN TUMOR
ESRD S P TB1,ESRD S P TB1
NPH,NPH
PROLONGED ETT,PROLONGED ETT
CHRONIC KIDNEY DISEASE STAGE 5,CHRONIC KIDNEY DISEASE STAGE 5
L2345 STENOSIS,L2345 STENOSIS
INFECTED WOUND RT FOOT,INFECTED WOUND RT FOOT
THROMBOSE AVBG LT FOREARM,THROMBOSED AVBG LT FOREARM
ESRD WITH STEAL SYNDROME,ESRD WITH STEAL SYNDROME
POSTPROCEDURAL SUBGLOTTIC STENOSIS,POSTPROCEDURAL SUBGLOTTIC STENOSIS
ESRD S P AVF LT WRIST,ESRD S P AVF LT WRIST
ENOUGH CHILD,ENOUGH CHILD
LEFT UC,LEFT UC
BROW PTOSIS,BROW PTOSIS
BILATERAL OME,BILATERAL OME
INFLOW STENOSIS LT,LT INFLOW STENOSIS
R O CA COLON,R O CA COLON
LOW TRANSPHINCTERIC FIA,LOW TRANSPHINCTERIC FIA
CA BREAST,CA BREAST
EPISTAXIS,EPISTAXIS
INVERTED PAPILLOMA,INVERTED PAPILLOMA
CVI C2S RT LEG,CVI C2S LT LEG
PAPILLARY THYROID CANCER,PAPILLARY THYROID CANCER
LEFT BREAST CANCER,LT BREAST CANCER
RT HYDROCELE,RT HYDROCELE
RT PROXIMAL UC,RT PROXIMAL UC
INCISIONAL HERNIA,INCISIONAL HERNIA
SEVERE OSA WITH ITH,SEVERE OSA WITH ITH
INFRA RENAL AAA,INFRARENAL AAA
GASTRITIS,GASTRITIS
MENINGIOMA,MENINGIOMA
LT UC S P URSL DJ STENT,LT UC S P URSL DJ STENT
MILD OSA WITH ITH,MILD OSA WITH ITH
REDUNDANT PREPUCE,REDUNDANT PREPUCE
RIGHT INDIRECT INGUINAL HERNIA,RT INDIRECT INGUINAL HERNIA
CVI,CVI
CA UPPER RECTUM,CA UPPER RECTUM
EXTERNAL HEMORRHOID,EXTERNAL HEMORRHOID
BCC,BCC
BREAST MASS,BREAST MASS
C4 5 SPONDYLOSIS,L4 5 SPONDYLOSIS
CYST OF ORAL REGION UNSPECIFIED,CYST OF ORAL REGION UNSPECIFIED
LT RENAL MASS,LT RENAL MASS
INTERNAL HEMORRHOID GR 3,INTERNAL HEMORRHOID
DCIS OF RIGHT BREAST,DCIS OF RIGHT BREAST
HYPERSECRETION,HYPERSECRETION
RT TVC MASS,RT TVC MASS
ASCENDING COLON CANCER,CA ASCENDING COLON
THROMBOSE AVBG,THROMBOSE AVF
MASS AT NOSE,MASS AT NOSE
GIANT AVF RT ARM,GIANT AVF LT ARM
CVI LT LEG,CVI LT LEG
INFECTED WOUND LT FOOT,INFECTED WOUND RT FOOT
INFLOW STENOSIS,LT INFLOW STENOSIS
MASS AT NECK,MASS AT NECK
CRS,CRS
BILAT IIH,BILAT IIH
MULTIPLE THYROID MASSES,MULTIPLE THYROID MASSES
HYPERTROPHY OF BREAST,HYPERTROPHY OF BREAST
SYMPTOMATIC GB POLYP,SYMPTOMATIC GB POLYP
CA URETER,CA URETER
MALIGNANT POLYP,MALIGNANT POLYP
CLI LT LEG,CVI LT LEG
CARCINOMA IN SITU OF BREAST INTRADUCTAL CARCINOMA IN SITU,CARCINOMA IN SITU OF BREAST INTRADUCTAL CARCINOMA IN SITU
R O CEPHALIC VEIN STENOSIS,R O CEPHALIC VEIN STENOSIS
LOWER GI BLEEDING,LOWER GI BLEEDING
OAB,OAB
CVI RT LEG,CVI LT LEG
TVC MASS,TVC MASS
AGING EYE,AGING EYE
ESRD S P KT,ESRD S P KT
L345 STENOSIS,L2345 STENOSIS
BILATERAL CA BREAST,BILATERAL BREAST MASS
NASAL BONE FRACTURE,NASAL BONE FRACTURE
INFECTED DM FOOT,INFECTED DM FOOT
MALPOSITION TCC,MALPOSITION TCC
LT INNOMINATE VEIN STENOSIS,LT INNOMINATE VEIN STENOSIS
CLI RT LEG,CLTI RT LEG
BPH WITH RECURRENT UTI,BPH WITH RECURRENT UTI
INFLOW STENOSIS RT,LT INFLOW STENOSIS
CLEFT PALATE,CLEFT PALATE
CA BREAST RT,RIGHT CA BREAST
R O CA ESOPHAGUS,R O CA ESOPHAGUS
CALCULUS OF GALLBLADDER WITH OTHER CHOLECYSTITIS,CALCULUS OF GALLBLADDER WITH OTHER CHOLECYSTITIS
MALIGNANT NEOPLASM OF LATERAL WALL OF BLADDER,MALIGNANT NEOPLASM OF LATERAL WALL OF BLADDER
RT PAROTID MASS,RT PAROTID MASS
ANAL FISTULA,ANAL FISTULA
L4 5 SPINAL STENOSIS,L4 5 SPINAL STENOSIS
SUBSIDE CHOLANGITIS,SUBSIDE CHOLANGITIS
RT BREAST CANCER,LT BREAST CANCER
LT DISTAL UC,RT DISTAL UC
THROMBOSE AVBG LT UPPERARM,THROMBOSE AVBG LT UPPERARM
ANAL STRICTURE,ANAL STRICTURE
DYSPHAGIA,DYSPHAGIA
CHRONIC CONSTIPATION,CHRONIC CONSTIPATION
MALIGNANT NEOPLASM OF LARYNX SUPRAGLOTTIS,MALIGNANT NEOPLASM OF LARYNX SUPRAGLOTTIS
UMBILICAL HERNIA,UMBILICAL HERNIA
REFRACTORY AUR,REFRACTORY AUR
CLTI OF RT LEG,CLTI RT LEG
CA SPLENIC FLEXURE,CA SPLENIC FLEXURE
OBSTRUCTIVE UROPATHY,OBSTRUCTIVE UROPATHY
COMPLICATED UTI,COMPLICATED UTI
CRBSI,CRBSI
R O LT CEPHALIC VEIN STENOSIS,R O CEPHALIC VEIN STENOSIS
LARGE GS,LARGE GS
OSA WITH ITH,OSA WITH ITH
SKULL DEFECT,SKULL DEFECT
UNSPECIFIED HAEMATURIA,UNSPECIFIED HAEMATURIA
BILAT CRS WITH NP WITH DNS,BILAT CRS WITH NP WITH DNS
BREAST HYPERTROPHY,HYPERTROPHY OF BREAST
JUXTAANASTOMOSIS STENOSIS,JUXTAANASTOMOSIS STENOSIS
HAEMORRHOIDS UNSPECIFIED,HAEMORRHOIDS UNSPECIFIED
RT STAGHORN RC,RT STAGHORN RC
DCIS LT BREAST,DCIS LT BREAST
C456 SPONDYLOSIS,C SPONDYLOSIS
KELOID,KELOID
ABNORMAL WEIGHT LOSS,ABNORMAL WEIGHT LOSS
RT URETERAL STRICTURE S P DJ STENT,RT URETERAL STRICTURE S P DJ STENT
GB POLYP,GB POLYP
INCONTINENCE,INCONTINENCE
CVI C3 LT LEG,CVI C2S LT LEG
RT UC S P URSL DJ STENT,RT UC S P URSL DJ STENT
CA URETHRA,CA URETHRA
SIGMOID COLON CANCER,CA SIGMOID COLON
SUBSTERNAL GOITER,SUBSTERNAL GOITER
CA SIGMOID S P SIGMOIDECTOMY,CA SIGMOID S P LAP SIGMOIDECTOMY
DIVERTICULITIS,DIVERTICULITIS
L45 SPONDYLOLISTHESIS,L4 5 SPONDYLOLISTHESIS
DNS,DNS
LT TM PERFORATION,LT TM PERFORATION
L2 5 SPONDYLOSIS,L4 5 SPONDYLOSIS
BPH WITH REFRACTORY AUR,BPH WITH REFRACTORY AUR
INFECTED AVBG LT FOREARM,INFECTED AVBG LT FOREARM
BLEEDING HEMORRHOID,BLEEDING HEMORRHOID
PITUITARY TUMOR,PITUITARY TUMOR
MALE CONTRACEPTION,MALE CONTRACEPTION
PROLONG ETT,PROLONGED ETT
CA RECTUM S P LAR,CA RECTUM S P LAR
MALFUNCTION TCC,MALFUNCTION TCC
SURVEILLANCE CA SIGMOID,SURVEILLANCE CA SIGMOID
RLL MASS,RLL MASS
LIPODYSTROPHY,LIPODYSTROPHY
MALFUNCTION TCC RT IJV,MALFUNCTION TCC RT IJV
ESRD WITH MALPOSITION TCC,ESRD WITH MALPOSITION TCC
BILAT HYDRONEPHROSIS,BILAT HYDRONEPHROSIS
EC FISTULA,EC FISTULA
GALLSTONE,GALLSTONE
RT EMPYEMA THORACIS,RT EMPYEMA THORACIS
THROMBOSED AVF,THROMBOSE AVF
L2 S1 SPONDYLOSIS,L4 S1 SPONDYLOSIS
L45S1 SPONDYLOSIS,L4 S1 SPONDYLOSIS
LT DIH,LT DIH
INFECTED CAPD,INFECTED CAPD
DCIS OF LEFT BREAST,DCIS OF LEFT BREAST
SIGMOID DIVERTICULITIS,SIGMOID DIVERTICULITIS
ESRD WITH THROMBOSE AVF,ESRD WITH THROMBOSE AVF
R O CEPHALIC ARCH STENOSIS,R O CEPHALIC ARCH STENOSIS
COMPLEX FIA,COMPLEX FIA
STEAL SYNDROME,STEAL SYNDROME
APPENDICEAL PHLEGMON,APPENDICEAL PHLEGMON
ITH WITH OSA,OSA WITH ITH
SUBSIDED CHOLANGITIS,SUBSIDE CHOLANGITIS
PASSING CBD STONE,PASSING CBD STONE
THROMBOSED AVBG,THROMBOSED AVBG
LT UPPER UC,LT UPPER UC
ESRD S P AVF LT CUBITAL,ESRD S P AVF LT CUBITAL
C4 5 6 7 SPONDYLOSIS,C4 5 6 7 SPONDYLOSIS
OTHER CHRONIC NONSUPPURATIVE OTITIS MEDIA,OTHER CHRONIC NONSUPPURATIVE OTITIS MEDIA
BENIGN NEOPLASM OF MAJOR SALIVARY GLAND UNSPECIFIED,BENIGN NEOPLASM OF MAJOR SALIVARY GLAND UNSPECIFIED
LT NECK MASS,MASS AT NECK
PREAURICULAR SINUS AND CYST,PREAURICULAR SINUS AND CYST
CA LUNG,CA LUNG
CHRONIC SINUSITIS,CHRONIC SINUSITIS
MALIGNANT NEOPLASM OF BASE OF TONGUE,MALIGNANT NEOPLASM OF BASE OF TONGUE
ENTEROCUTANEOUS FISTULA,ENTEROCUTANEOUS FISTULA
2ND HPTH,2ND HPTH
PENILE MASS,PENILE MASS
ESRD WITH THROMBOSED AVF LT CUBITAL,ESRD WITH THROMBOSED AVF LT CUBITAL
MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED PARTS OF TONGUE VENTRAL SURFACE OF TONGUE,MALIGNANT NEOPLASM OF OTHER AND UNSPECIFIED PARTS OF TONGUE VENTRAL SURFACE OF TONGUE
THROMBOSE AVF RT CUBITAL,THROMBOSED AVF LT CUBITAL
CKD STAGEV,CKD STAGE V
CA LT BREAST S P NEOADJUVANT CHEMOTHERAPY,LEFT CA BREAST S P NEOADJUVANT CHEMOTHERAPY
ABNORMAL CALCIFICATION OF RIGHT BREAST,ABNORMAL CALCIFICATION OF RIGHT BREAST
LOCULATED RT PLEURAL EFFUSION,LOCULATED RT PLEURAL EFFUSION
CVI C2S OF BOTH LEGS,CVI C2S BOTH LEGS
ANASTOMOSIS STRICTURE,ANASTOMOSIS STRICTURE
CYSTITIS GLANDULARIS,CYSTITIS GLANDULARIS
L2345 SPONDYLOSIS,L345 SPONDYLOSIS
S P LAR,S P LAR
CTLI RT LEG,CLTI RT LEG
C3 7 SPONDYLOSIS,C SPONDYLOSIS
NF BOTH LEG,NF BOTH LEG
NORMAL PRESSURE HYDROCEPHALUS,NORMAL PRESSURE HYDROCEPHALUS
RUPTURE DISC L4 5,RUPTURE DISC L4 5
L 345 SPONDYLOSIS,L4 5 SPONDYLOSIS
SKIN TAG AT NECK,SKIN TAG AT NECK
PTOSIS EYELID,PTOSIS OF EYELID
MALPOSITION TCC RT IJV,MALPOSITION TCC RT IJV
BALANOPOSTHITIS,BALANOPOSTHITIS
CHRONIC ABDOMINAL PAIN,CHRONIC ABDOMINAL PAIN
URINARY INCONTINENCE,URINARY INCONTINENCE
ESRD WITH MALFUNCTION TCC,ESRD WITH MALFUNCTION TCC
CA BLADDER URETHRAL STRICTURE,CA BLADDER URETHRAL STRICTURE
DIVERTICULOSIS,DIVERTICULOSIS
RT OUTFLOW STENOSIS,RT OUTFLOW STENOSIS
RT FRONTAL BRAIN TUMOR,RT FRONTAL BRAIN TUMOR
NF LT LEG S P PARTIAL STSG,NF LT LEG S P PARTIAL STSG
LGIB HEMORRHOID,LGIB HEMORRHOID
STOOL OCCULT BLOOD POSITIVE,STOOL OCCULT BLOOD POSITIVE
RIGHT INGUINAL HERNIA,RT INGUINAL HERNIA
LT INDIRECT INGUINAL HERNIA,RT INDIRECT INGUINAL HERNIA
CA ASCENDING COLON S P LAP RHC,CA ASCENDING COLON S P LAP RHC
LT SUBMANDIBULAR MASS,LT SUBMANDIBULAR MASS
OBESITY,OBESITY
BILAT UC,BILAT UC
CA BLADDER S P TUR BT,CA BLADDER S P TUR BT
FAMILY PLANNING,FAMILY PLANNING
PTOSIS U L EYELID,PTOSIS U L EYELID
NASAL POLYP,NASAL POLYP
BLADDER WALL THICKENING,BLADDER WALL THICKENING
CLTI LEFT LEG,CLTI LEFT LEG
L4 5 S1 SPONDYLOSIS,L4 S1 SPONDYLOSIS
LEFT ADRENAL MASS,LEFT ADRENAL MASS
RT CEPHALIC VEIN STENOSIS,CEPHALIC VEIN STENOSIS
NF RIGHT FOOT,NF RIGHT FOOT
CHRONIC WOUND LT LEG,CHRONIC WOUND LT LEG
CA PROSTATE S P LRP,CA PROSTATE S P LRP
GROSS HEMATURIA R O CA BLADDER,GROSS HEMATURIA R O CA BLADDER
ESRD WITH UREMIA,ESRD WITH UREMIA
NAEVUS,NAEVUS
TRICHILEMMAL CYST,TRICHILEMMAL CYST
INTERNAL HEMORRHOID GR III,INTERNAL HEMORRHOID GR III
BURST FRACTURE L1,BURST FRACTURE L1
RT CERVICAL LN,RT CERVICAL LN
2ND HPTH WITH BONE PAIN,2ND HPTH WITH BONE PAIN
CEREBELLAR TUMOR,CEREBELLAR TUMOR
RESPIRATORY FAILURE UNSPECIFIED,RESPIRATORY FAILURE UNSPECIFIED
RECTAL GIST,RECTAL GIST
STOOL OCCULT BLOOD VE,STOOL OCCULT BLOOD VE
R O CBN,R O CBN
LUTS R O URETHRAL STRICTURE,R O URETHRAL STRICTURE
GI BLEEDING,GI BLEEDING
THROMBOSE AVF LT CUBITAL,THROMBOSED AVF LT CUBITAL
