variant,canonical
LEFT CHRONIC SPHENOIDITIS,LEFT CHRONIC SPHENOIDITIS
MALIGNANT NEOPLASM OF PALATE HARD PALATE,MALIGNANT NEOPLASM OF PALATE HARD PALATE
COMPLEX ABDOMINAL WALL DEFECT,COMPLEX ABDOMINAL WALL DEFECT
CA LOWER RECTUM S P LAR DLI S P CLOSURE COLOSTOMY,CA LOWER RECTUM S P LAR DLI S P CLOSURE COLOSTOMY
BHC HX TA AT RECTOSIGMOID,BHC HX TA AT RECTOSIGMOID
SEREENING CA COLON,SEREENING CA COLON
CONSTIPATION C WEIGHT LOSS,CONSTIPATION C WEIGHT LOSS
HEMORRHOID C LGIB,LGIB HEMORRHOID
FITSULA IN ANO,FISTULA IN ANO
INCOMPLETE APPENDECTOMY,INCOMPLETE APPENDECTOMY
CA RECTUM S P TOTAL PELVIC EXENTERATION C S3 SACRECTOMY C BILATERAL TRANSURETEROURETEROSTOMY C SIGMOIDECTOMY C SIGMOID FLAP,CA RECTUM S P TOTAL PELVIC EXENTERATION C S3 SACRECTOMY C BILATERAL TRANSURETEROURETEROSTOMY C SIGMOIDECTOMY C SIGMOID FLAP
R O CA COLON CT : ASCENDING HEPATIC FLEXURE THICKENING,R O CA COLON CT : ASCENDING HEPATIC FLEXURE THICKENING
CEA RAISING,CEA RISING
DERMATOCHALASIA,DERMATOCHALASIA
R O LIPOMA,R O LIPOMA
SEBACIOUS CYST,SEBACEOUS CYST
MASS AT RT EYELID,MASS AT EYELID
LARGE RT RENAL MASS,LARGE RT RENAL MASS
RT PROGRESSIVE HYDRONEPHROSIS,RT PROGRESSIVE HYDRONEPHROSIS
SURGICAL SITES INFECTION,SURGICAL SITES INFECTION
SSI AT SCROTUM,SSI RT SCOTUM
PYLORIC CANCER WITH GASTRIC OUTLET OBSTRUCTION,PYLORIC CANCER WITH GASTRIC OUTLET OBSTRUCTION
CLI WITH DRY GANGRENE RT FOOT SKIN LESION AT HEAD,CLI WITH DRY GANGRENE RT FOOT SKIN LESION AT HEAD
RECTAL INJURY S P LOOP TRANSVERE COLOSTOMY,RECTAL INJURY S P LOOP TRANSVERE COLOSTOMY
ESRD WITH CENTRAL VEINSTENOSIS,ESRD WITH CENTRAL VEINSTENOSIS
S P DDKT WITH LYMPHOCOEL,S P DDKT WITH LYMPHOCOEL
INFECTED WOUND BOTH BIG TOE WITH OSTEOMYELITIS OF RT BIG TOE,INFECTED WOUND BOTH BIG TOE WITH OSTEOMYELITIS OF RT BIG TOE
ESRD DLC MULFUNCTION,ESRD DLC MULFUNCTION
ESRD WITH CRI,ESRD WITH CRBSI
PIRADS 5 AT RT ANTERIOR TRANSIONAL ZONE AT APEX,PIRADS 5 AT RT ANTERIOR TRANSIONAL ZONE AT APEX
GENITAL WART,ANOGENITAL WART
CHRONIC ULCER AT PENIS,CHRONIC ULCER AT PENIS
GENERAL COUNSELLING AND ADVICE ON CONTRACEPTION,GENERAL COUNSELLING AND ADVICE ON CONTRACEPTION
CA SIGMOID COLON WITH INVADE BLADDER S P OPEN AR WITH WEDGE DOME OF BLADDER,CA SIGMOID COLON WITH INVADE BLADDER S P OPEN AR WITH WEDGE DOME OF BLADDER
LGIB > HEMORRHOID,LGIB HEMORRHOID
INCOMPLETE COLONOSCOPY POOR BOWEL PREP,INCOMPLETE COLONOSCOPY POOR BOWEL PREP
STATUS CHEMOTPORT,STATUS CHEMOPORT
CA ASCENDING COLON S P EXTENDED RHC WITH ILEOSTOMY,CA ASCENDING COLON S P EXTENDED RHC WITH ILEOSTOMY
CA SIGMOID SYNCHRONOUS LESION AT TRANSVERSE COLON,CA SIGMOID SYNCHRONOUS LESION AT TRANSVERSE COLON
RUPTURED DIVERTICULITIS S P LOOP PROXIMAL TRANSVERSE COLOSTOMY,RUPTURED DIVERTICULITIS S P LOOP PROXIMAL TRANSVERSE COLOSTOMY
LT BREAST MASS AT L2,LT BREAST MASS L12
RT BREAST CANCER T4DN1M0 S P NEOADJUVANT CMT,RT BREAST CANCER T4DN1M0 S P NEOADJUVANT CMT
AORTIC DISSECTION S P HEMIARCH REPLACMENT WITH PROLONG INTUBATION,AORTIC DISSECTION S P HEMIARCH REPLACMENT WITH PROLONG INTUBATION
MYASTHENIA GRAVIS CRISIS,MYASTHENIA GRAVIS CRISIS
CLI WITH WET GANGRENE RT FOOT,CLI WITH WET GANGRENE RT FOOT
C3 4 SUBLUXATION,C3 4 5 SUBLUXATION
MASS AT LT PARIETAL LOBE,MASS AT LT PARIETAL LOBE
RT POSTERIOR LOBE CEREBELLAR MASS,RT POSTERIOR LOBE CEREBELLAR MASS
LUOQ BREAST MASS BIRAD4,LUOQ BREAST MASS BIRAD4
SUBMUCOSAL LESION AT FUNDUS,SUBMUCOSAL LESION AT FUNDUS
SURGICAL SITE INFECTION,SURGICAL SITES INFECTION
DCIS OF LEFT BREAST S P EXCISION,DCIS OF LEFT BREAST S P EXCISION
BILATERAL CHRONIC SUBDURAL HEMATOMA,BILATERAL CHRONIC SUBDURAL HEMATOMA
L5S1 SPONDYLOSIS,L4 S1 SPONDYLOSIS
CA SIGMOID S P AR WITH DVT PE,CA SIGMOID S P AR WITH DVT PE
R O THROMBOSED RT CUBITAL AVF,R O THROMBOSED RT CUBITAL AVF
S P AVF R O RT CEPHALIC ARCH STENOSIS,S P AVF R O RT CEPHALIC ARCH STENOSIS
ESRD WITH EXIT SITE INFECTION,ESRD WITH EXIT SITE INFECTION
ANEURYSM LEFT AVF INFECTION,ANEURYSM LEFT AVF INFECTION
ESRD WITH DLC LT IJV MALFUNCTION,ESRD WITH DLC LT IJV MALFUNCTION
LT LOCULATED PLEURAL EFFUSION,LOCULATED RT PLEURAL EFFUSION
RECURRENT RT PNEUMOTHORAX,RECURRENT RLL PNEUMOTHORAX
SUBSIDED CHOLANGITIS S P ERCP GS,SUBSIDE CHOLANGITIS S P ERCP
HYPOSPAD,HYPOSPAD
MULTIPLE SKIN LESION AT BACK PELVIS,MULTIPLE SKIN LESION AT BACK PELVIS
INFECTED WOUND AT LT LEG S P LT AKA,INFECTED WOUND AT LT LEG S P LT AKA
LACERATED WOUND RT UPPER EYELID,LACERATED WOUND RT UPPER EYELID
CA THYROID S P TOTAL THYROIDECTOMY,CA THYROID S P TOTAL THYROIDECTOMY
VERY LARGE MASS AT LEFT THIGH 10 CM,VERY LARGE MASS AT LEFT THIGH 10 CM
RECURRENT PAPILLARY THYROID CANCER AT RIGHT LN LEVEL 2 LEFT LN LEVEL 4 6 S P OPEN TTD WITH BILAT CND AND BILAT MRND,RECURRENT PAPILLARY THYROID CANCER AT RIGHT LN LEVEL 2 LEFT LN LEVEL 4 6 S P OPEN TTD WITH BILAT CND AND BILAT MRND
CA RECTOSIGMOID C OBSTRUCTION,CA RECTOSIGMOID C OBSTRUCTION
NF RIGHT FOOT S P 4TH 5TH RIGTH TOE AMPUTATION,NF RIGHT FOOT S P 4TH 5TH RIGTH TOE AMPUTATION
RT BREAST MASS R6,RT BREAST MASS R9
LT BREAST BIRAD4C,LT BREAST BIRAD4C
INGROWING NAIL AT RT BIG TOE,INGROWING NAIL AT RT BIG TOE
CA STOMACH WITH CHEMOPORT INSERTED TO RT COMMON CAROTID,CA STOMACH WITH CHEMOPORT INSERTED TO RT COMMON CAROTID
CA LT BREAST S P EXCISION,CA LT BREAST S P EXCISION
RECURRENT GRANULOSE CELL CA INITIAL STAGE 2C,RECURRENT GRANULOSE CELL CA INITIAL STAGE 2C
ESDR ON HD,ESRD ON HD
PROXIMAL VEIN STENOSIS SWING VEIN,PROXIMAL VEIN STENOSIS SWING VEIN
THYROID GOITER WITH ESOPHAGEAL COMPRESSION,THYROID GOITER WITH ESOPHAGEAL COMPRESSION
RECURRENT HCC S4A B,RECURRENT HCC S4A B
NECROTIC WOUND AT LT THIGH,NECROTIC WOUND AT LT THIGH
ISCHEMIC STROKE WITH PROLONG INTUBATION,ISCHEMIC STROKE WITH PROLONG INTUBATION
RUPTURE DISC L4 L5 LEVEL,RUPTURE DISC L4 L5 LEVEL
RUPTURED DISC L2 3 WITH L345 SPONDYLOSIS,RUPTURED DISC L2 3 WITH L345 SPONDYLOSIS
INFECTED LP SHUNT,INFECTED LP SHUNT
COMMUNICATING HYDROCEPHALUS,COMMUNICATING HYDROCEPHALUS
BURST FX L2 WITH FACET ARTHROSIS,BURST FX L2 WITH FACET ARTHROSIS
GBM WITH HYDROCEPHALUS,GBM WITH HYDROCEPHALUS
INTRAMEDULLARY CORD TUMOR C5 T1,INTRAMEDULLARY CORD TUMOR
ADJACENT LEVEL L34,ADJACENT LEVEL L34
C 67 DISC HERNIATION LT,C 67 DISC HERNIATION LT
VP SHUNT FAILURE,VP SHUNT FAILURE
TRACHEOSTOMY,TRACHEOSTOMY
CA RT BREAST RUOQ,CA RT BREAST RUOQ
COLONIC OBSTRUCTION S P OPEN LAR WITH LOOP PROXIMAL TRANSVERSE COLOSTOMY,COLONIC OBSTRUCTION S P OPEN LAR WITH LOOP PROXIMAL TRANSVERSE COLOSTOMY
ESRD WITH 2ND HPTH,ESRD WITH 2ND HPTH
PERSISTENT HPTH S P 3 GLANDS PARATHYROIDECTOMY,PERSISTENT HPTH S P 3 GLANDS PARATHYROIDECTOMY
ABSCESS NECK,ABSCESS NECK
SACCULAR AT DESCENDING THORACIC AND INFRARENAL,SACCULAR AT DESCENDING THORACIC AND INFRARENAL
POST BRONCHOSCOPY WITH PNEUMOTHORAX,POST BRONCHOSCOPY WITH PNEUMOTHORAX
TB PLEURA WITH LOCULATED EFFUSION LT LUNG,TB PLEURA WITH LOCULATED EFFUSION LT LUNG
LEFT LOWER LUNG MASS,LEFT LOWER LUNG MASS
ACCESSORY AURICLE,ACCESSORY AURICLE
SURGICAL SITE INFECTION S P RT HERNIOPLASTY,SURGICAL SITE INFECTION S P RT HERNIOPLASTY
CA MID LOWER RECTUM,CA LOWER RECTUM
HEPATIC FLEXURE COLON CANCER WITH RECTAL PROLAPSE,HEPATIC FLEXURE COLON CANCER WITH RECTAL PROLAPSE
PERIANAL CONDYLOMA,PERINEAL CONDYLOMA
DVT LT GROIN,DVT LT GROIN
CLI BOTH LEGS,CVI BOTH LEGS
RECURRENT EPISTAXIS,RECURRENT EPISTAXIS
MODERATE OSA WITH DNS,MODERATE OSA WITH DNS
CHT WITH CR,CHT WITH CR
BILAT STENOSIS LACRIMAL PATHWAY,BILAT STENOSIS LACRIMAL PATHWAY
ACUTE URINARY RETENTION,LUTS URINARY RETENTION
CRS WITH NP WITH DNS,CRS WITH NP WITH DNS
MIDLINE NECK MASS,MIDLINE NECK MASS
MASS AT OCCIPITAL AREA,MASS AT OCCIPITAL AREA
LARGE MASS AT HEAD,LARGE MASS AT HEAD
PTOSIS BOTH UPPER EYELID,PTOSIS UPPER EYELID
MANDIBLE FRACTURE,MANDIBLE FRACTURE
PTOSIS EYEBROW,BROW PTOSIS
NERVUOS RT CHEEK,NERVUOS RT CHEEK
CYST AT FINGER,CYST AT FINGER
RT PAROTID TUMOR,RT PAROTID TUMOR
CLOSED FX NASAL BONE,CLOSED FX NASAL BONE
MASS AT OCCIPITAL AREA S P WIDE EXCISION,MASS AT OCCIPITAL AREA S P WIDE EXCISION
MULTIPLE LN ENLARGE,MULTIPLE LN ENLARGE
PRE EPIGLOTTIC CYST,PRE EPIGLOTTIC CYST
CR WITH DNS WITH NP MASS,CR WITH DNS WITH NP MASS
CA SPLENIC FLEXURE COLON,CA SPLENIC FLEXURE COLON
THOMBOSED COMBINED HEMORRHOID,THOMBOSED COMBINED HEMORRHOID
ADVANCE STAGE CA LOWER RECTUM,ADVANCE STAGE CA RECTUM
LT UC WITH AKI,LT UC WITH AKI
RT URETERAL MASS WITH URETERAL STRICTURE S P URS WITH BIOPSY LASER ABLATION DJ STENT,RT URETERAL MASS WITH URETERAL STRICTURE S P URS WITH BIOPSY LASER ABLATION DJ STENT
RECURRENT CA BLADDER S P TUR BT ม ค 65,RECURRENT CA BLADDER S P TUR BT ม ค 65
R O ERTHROPLASIA OF QUERAT,R O ERTHROPLASIA OF QUERAT
MULTIPLE CA BLADDER INVOLVE PROSTATE GLAND,MULTIPLE CA BLADDER INVOLVE PROSTATE GLAND
ENOUGH CHILYD,ENOUGH CHILD
UERTHRAL STRICTURE,URETHRAL STRICTURE
RENAL MASS C GROSS HEMATURIA,RENAL MASS WITH GROSS HEMATURIA
RIGHT NEOPLASM OF ADRENAL GLAND,RIGHT NEOPLASM OF ADRENAL GLAND
HYPERTENSIVE RENAL DISEASE WITH RENAL FAILURE,HYPERTENSIVE RENAL DISEASE WITH RENAL FAILURE
CA RT RENAL PEVIS,CA RT RENAL PEVIS
R O UROTHELIAL CELL CARCINOMA,R O UROTHELIAL CELL CARCINOMA
UNDESCENDES TESTIS,UNDESCENDES TESTIS
RECURRENT CA PROSTATE WITH GROSS HEMATURIA,RECURRENT CA PROSTATE WITH GROSS HEMATURIA
R O REFLEX HYDRONEPHROSIS,R O REFLEX HYDRONEPHROSIS
BUSCHKE LOWENSTEIN TUMOR,BUSCHKE LOWENSTEIN TUMOR
THROMBOSED EXTERNAL HEMORRHOID,THROMBOSED EXTERNAL HEMORRHOID
CRITICAL LIMB ISCHEMIA BOTH LEGS,CRITICAL LIMB ISCHEMIA BOTH LEGS
ESRD THROMBOSED AVF,ESRD THROMBOSED AVF
S P LT TB1,S P LT TB1
AVF STENOSIS MID CEPHALIC ARM,AVF STENOSIS MID CEPHALIC ARM
ESDR ON HD TCC RT IJV,ESDR ON HD TCC RT IJV
ENDOLEAK TYPE IB S P TEVAR,ENDOLEAK TYPE IB S P TEVAR
CA RECTUM T2N1AM0 S P LAR C DLC,CA RECTUM T2N1AM0 S P LAR C DLC
DVT LEFT LEG EVALUATE CANCER,DVT LEFT LEG EVALUATE CANCER
BCC AT PERIANAL,BCC AT PERIANAL
ANAL POLYP AT 7 O'CLOCK,ANAL POLYP AT 7 O'CLOCK
OVARIAN CANCER S P TAH WITH RT SO WITH SIGMOIDECTOMY WITH HARTMANN PROCEDURE,OVARIAN CANCER S P TAH WITH RT SO WITH SIGMOIDECTOMY WITH HARTMANN PROCEDURE
SIGMIOD COLON CANCER,SIGMIOD COLON CANCER
L1 COMPRESSION FRACTURE WITH EPIDURAL SPINAL CORD COMPRESSION,L1 COMPRESSION FRACTURE WITH EPIDURAL SPINAL CORD COMPRESSION
LT CAP TUMOR,LT CAP TUMOR
VARICOSE VEIN AT LT LEG,VARICOSE VEIN LT LEG
INFECTED PORT A,INFECTED PORT A
ESRD S P AVBG RT UPPER ARM,ESRD S P AVBG RT UPPER ARM
CRITICAL LIMB ISCHEMIC RT LEG WITH OSTEOMYELITIS RT FOOT,CRITICAL LIMB ISCHEMIC RT LEG WITH OSTEOMYELITIS RT FOOT
LT CEPHALIC ARCH MID LT CEPHALIC VEIN STENOSIS,LT CEPHALIC ARCH MID LT CEPHALIC VEIN STENOSIS
ESRD WITH DISPLACE TCC RT IJV,ESRD TCC RT IJV DISPLACED
CA AMPULLA OF VATER,CA AMPULLA OF VATER
COMPLICATED PARAPNEUMONIC EFFUSION,COMPLICATED PARAPNEUMONIC EFFUSION
CA LT BREAST WITH CHEST WALL INVASION,CA LT BREAST WITH CHEST WALL INVASION
BREAST MASS AT R9 L8,BREAST MASS AT R9 L8
MID UPPER RECTAL CANCER,MID UPPER RECTAL CANCER
PROSTATE 100 ML PSA 4 2 PIRADS 2,PROSTATE 100 ML PSA 4 2 PIRADS 2
BPH WITH ALPHA BLOCKER SIDE EFFECT,BPH WITH ALPHA BLOCKER SIDE EFFECT
PROSTATE 60 ML WITH NOT IMPROVE WITH ALPHA BLOCKER,PROSTATE 60 ML WITH NOT IMPROVE WITH ALPHA BLOCKER
CYST AT EAR,CYST AT EAR
OPENED FRACTURE AMPUTATED DISTAL PHALANX RT 2ND AND 3RD FINGERS,OPENED FRACTURE AMPUTATED DISTAL PHALANX RT 2ND AND 3RD FINGERS
OPEN FRACTURE 5TH MCB RT HAND,OPEN FRACTURE 5TH MCB RT HAND
BCC AT LT NASAL ALAR,BCC AT LT NASAL ALAR
BLOODY NIPPLE DISCHARGE OF RIGHT NIPPLE,BLOODY NIPPLE DISCHARGE OF RIGHT NIPPLE
RIGHT CA BREAST S P NEOADJUVANT CMT,CA RT BREAST S P NEOADJUVANT CHEMO
BILATERAL CA BREAST S P BILATERAL MASTECTOMY WITH IMPLANT EXTRUSION,BILATERAL CA BREAST S P BILATERAL MASTECTOMY WITH IMPLANT EXTRUSION
ABNORMAL CALCIFICATION AT RLIQ,ABNORMAL CALCIFICATION AT RLIQ
R O NF AT RIGHT LEG,R O NF AT RIGHT LEG
LEFT GROIN HERNIA,LEFT GROIN HERNIA
CA SIGMOID S P SIGMOIDECTOMY WITH LOOP ILEOSTOMY,CA SIGMOID S P SIGMOIDECTOMY WITH LOOP ILEOSTOMY
EXPOSE WOUND,EXPOSE WOUND
RIGHT FRONTAL BRAIN METASTASIS,RIGHT FRONTAL BRAIN METASTASIS
LT OCCIPITAL TUMOR,LT OCCIPITAL TUMOR
L345 SPONDYLOLISTHESIS,L4 5 SPONDYLOLISTHESIS
UNSTABLE FRACTURE C5,UNSTABLE FRACTURE C5
LT HYDRONEPHROSIS WITH LT UC,LT HYDRONEPHROSIS WITH LT UC
RT SCROTAL ABCESS,RT SCROTAL ABCESS
BILATERAL STAGHORN CALCULI,BILATERAL STAGHORN CALCULI
MIX UI,MIX UI
BLADDER MASS C GROSS HEMATURIA,BLADDER MASS C GROSS HEMATURIA
S P URETEROSTOMY,S P URETEROSTOMY
า,า
CA LT UPPER ALVEOLAR RIDGE,CA LT UPPER ALVEOLAR RIDGE
CRS WITH DNS,CR WITH DNS
CHRONIC TONSILITIS,CHRONIC TONSILLITIS
HYPERTROPHIC SCAR AT CHIN,HYPERTROPHIC SCAR AT CHIN
PRIMARY HYPERPARATHYROIDISM,TERTIARY HYPERPARATHYROIDISM
RT MAXILLARY SINUSITIS WITH HIV POSITIVE,RT MAXILLARY SINUSITIS WITH HIV POSITIVE
IRREGULAR NERVUS,IRREGULAR NERVUS
INFECTED WOUND WITH OSTEOMYELITIS S P RAY AMPUTATION RT BIG TOE,INFECTED WOUND WITH OSTEOMYELITIS S P RAY AMPUTATION RT BIG TOE
SCALP DEFECT,SCALP DEFECT
ANAL ULCER R O MALIGNANCY,ANAL ULCER R O MALIGNANCY
CA SIGMOID WITH IMPENDING OBSTRUCTION,CA SIGMOID WITH IMPENDING OBSTRUCTION
OPEN WOUND ON LEFT LEG,OPEN WOUND ON LEFT LEG
RCC RK,RCC RK
PARAMEATAL CYST,PARAMEATAL CYST
BILATERAL HYDRONEPHROSIS R O CA BLADDER,BILATERAL HYDRONEPHROSIS R O CA BLADDER
S P ILEOSTOMY,S P ILEOSTOMY
CCP S P TRANSSACRAL PROCTECTOMY WITH DLC,CCP S P TRANSSACRAL PROCTECTOMY WITH DLC
RECTAL CANCER S P LAR CAA DLI,RECTAL CANCER S P LAR CAA DLI
PERIANAL VENOUS THROMBOSIS,PERIANAL VENOUS THROMBOSIS
CA DISTAL SIGMOID,CA DISTAL SIGMOID
URINARY BLADDER POLYP,URINARY BLADDER POLYP
RIGHT CERVICAL LYMPHADENOPATHY,RT CERVIAL LYMPHADENOPATHY
LT RENAL CALCULI STAGHORN S P LT PCNL WITH LT UC,LT RENAL CALCULI STAGHORN S P LT PCNL WITH LT UC
PATENT URACHUS,PATENT URACHUS
BPH WITH GROSS HEMATURIA,BPH WITH GROSS HEMATURIA
RECURRENT URETHRAL CONDYLOMA,RECURRENT URETHRAL CONDYLOMA
LEFT TESTIS MASS,LEFT TESTIS MASS
CA UNKNOWN PRIMARY WITH ABDOMINAL PAIN,CA UNKNOWN PRIMARY WITH ABDOMINAL PAIN
INTERNAL HEMORRHIOD,INTERNAL HEMORRHOID
CA SIGMOID S P COLOSTOMY,CA SIGMOID S P COLOSTOMY
R O CA PROSTATATE,R O CA PROSTATE
CA ENDOMETRIUM INVOLVED INTROITUS URINARY RETENTION,CA ENDOMETRIUM INVOLVED INTROITUS URINARY RETENTION
LT RENAL COMPLEX CYST,LT RENAL COMPLEX CYST
CA RECTUM S P LAR C DLI R O RECURRENT TUMOR,CA RECTUM S P LAR C DLI R O RECURRENT TUMOR
URETHAL STICTURE,URETHRAL STRICTURE
MULTIPARITY,MULTIPARITY
MASS AT TRANSVERSE COLON,MASS AT TRANSVERSE COLON
OBSTRUCTED CA SIGMOID COLON,OBSTRUCTED CA SIGMOID COLON
CA RECTUM WITH PLAN FOR CMT,CA RECTUM WITH PLAN FOR CMT
CA RECTOSIGMOID COLON S P SUPRALEVATOR PELVIC EXCENTERATION C ILEAL CONDUIT C DOUBLE BARREL ILEOSTOMY,CA RECTOSIGMOID COLON S P SUPRALEVATOR PELVIC EXCENTERATION C ILEAL CONDUIT C DOUBLE BARREL ILEOSTOMY
CCP,CCP
SDH LT FRONTOPARIETAL AREA,SDH LT FRONTOPARIETAL AREA
RT TRIGEMINAL NEURALGIA,RIGHT TRIGERMINAL NEURALGIA
RE RUPTURE LT VA ANEURYSM,RE RUPTURE LT VA ANEURYSM
ANEURYSM AVF LT ARM,ANEURYSM AVF LT ARM
STEAL SYNDROME AT LT THUMB,STEAL SYNDROME AT LT THUMB
TRAUMATIC AVF RT BRACHIAL ARTERY,TRAUMATIC AVF RT BRACHIAL ARTERY
ESRD WITH MAIFUNCTION TCC RT IJV,ESRD WITH MAIFUNCTION TCC RT IJV
ESRD S P DDKT WITH FALSE ANEURYSM AVF RT CUBITAL,ESRD S P DDKT WITH FALSE ANEURYSM AVF RT CUBITAL
TCC AT RIGHT IJV DYSFUNCTION,TCC AT RIGHT IJV DYSFUNCTION
R O INFLOW STENOSIS AVF LT WRIST,R O INFLOW STENOSIS AVF LT WRIST
CRITICAL LIMB ISCHEMIA AT RIGHT LEG,CRITICAL LIMB ISCHEMIA RT LEG
DERMATOMYOSITIS RELATED THYMOMA,DERMATOMYOSITIS RELATED THYMOMA
CHOLANGIOCA,CHOLANGIOCA
INFECTED WOUND RT BIG TOE,RIGHT BIG TOE INFECTED WOUND
MYOSITIS,MYOSITIS
LT OBSTRUCTIVE UROPATHY DUE TO MULTIPLE URETERAL MUCUSAL POLYPS,LT OBSTRUCTIVE UROPATHY DUE TO MULTIPLE URETERAL MUCUSAL POLYPS
NODULE LT VALLECULAE,NODULE LT VALLECULAE
RT CHRONIC MAXILLARY SINUSITIS,RT CHRONIC MAXILLARY SINUSITIS
BENIGN NEOPLASM OF PAROTID GLAND RT,BENIGN NEOPLASM OF PAROTID GLAND RT
WARTIN TUMOR OF PAROTID GLAND RT,WARTIN TUMOR OF PAROTID GLAND RT
PYOMYOSITIS RT LEG,PYOMYOSITIS RT LEG
RT PLANTAR ABSCESS,RT PLANTAR ABSCESS
PYOMYOSITIS RT LEG AND LT FOOT S P DB,PYOMYOSITIS RT LEG AND LT FOOT S P DB
PAGET'S DISEASE LT NIPPLE C FOCI DCIS,PAGET'S DISEASE LT NIPPLE C FOCI DCIS
SUSPICIOUS FOR THYROID CANCER WITH HYPERPARATHYROIDISM 1ST VS 2ND,SUSPICIOUS FOR THYROID CANCER WITH HYPERPARATHYROIDISM 1ST VS 2ND
METAS LT SUPRACLAVICULAR LN,METAS LT SUPRACLAVICULAR LN
RIGHT B4 THYROID NODULE,RIGHT B4 THYROID NODULE
LT SUBCLAVIEN VEIN STENOSIS ISR,LT SUBCLAVIAN VEIN STENOSIS ISR
LEFT ADREANAL NODULE SUSPECTED METASTASIS,LEFT ADREANAL NODULE SUSPECTED METASTASIS
LIPOMA LT AXILLA,LIPOMA LT AXILLA
GYNECOMASTIA OF BOTH BREAST,GYNECOMASTIA BOTH BREAST
GALLSTONES,GALLSTONE
BCC RT ALAR,BCC RT ALAR
PROMINENT EARS,PROMINENT EARS
FRACTURE FIRST MCB,FRACTURE FIRST MCB
MASS AT LEFT HAND,MASS AT LEFT HAND
BCCA ON NOSE,BCCA ON NOSE
SCHWANNOMA T7,SCHWANNOMA T7
TB SPINE WITH CORD COMPRESSION,TB SPINE WITH CORD COMPRESSION
L4 5 SPONDYLOSIS WITH TALOV CYST S1,L4 5 SPONDYLOSIS WITH TALOV CYST S1
L3 4 4 5 STENOSIS,L3 4 5 STENOSIS
RUPTURED LT VA C HYDROCEPHALUS,RUPTURED LT VA C HYDROCEPHALUS
ADJACENT LEVEL STENOSIS L2 3,ADJACENT LEVEL STENOSIS L2 3
MASS AT S1,MASS AT S1
LEFT CLINOIDAL MENINGIOMA,LEFT CLINOIDAL MENINGIOMA
ADJACENT LEVEL L34 S P LAMINECTOMY L45,ADJACENT LEVEL L34 S P LAMINECTOMY L45
L234 SPONDYLOSIS,L345 SPONDYLOSIS
T11 12 STENOSIS,T11 12 STENOSIS
BLADDER TUMOR RT UVJ STONE,BLADDER TUMOR RT UVJ STONE
PSA 6 9,PSA 6 9
PSA 5 6,PSA 5 6
SUSPECTES CA PROSTATE WITH BONE METASTASIS,SUSPECTES CA PROSTATE WITH BONE METASTASIS
POST DDKT,POST DDKT
MASS AT HYPOPHARYNX,MASS AT HYPOPHARYNX
MALIGNANT NEOPLASM OF FLOOR OF MOUTH LATERAL FLOOR OF MOUTH LT,MALIGNANT NEOPLASM OF FLOOR OF MOUTH LATERAL FLOOR OF MOUTH LT
DEVIATED NASAL SEPTUM WITH AR,DEVIATED NASAL SEPTUM WITH AR
CHOLESTEATOMA RT EAR,CHOLESTEATOMA LT EAR
OPEN WOUND RT LOWER LEG,OPEN WOUND RT LOWER LEG
DYSPLASTIC NERVUS,DYSPLASTIC NERVUS
EAR CLEFT,EAR CLEFT
MASS AT TRUNK,MASS AT TRUNK
NF LT LEG S P LT AKA,NF LT LEG S P LT AKA
CLEFT LIP AND PALATE,CLEFT LIP AND PALATE
CFX 5TH METACARPAL RT,CFX 5TH METACARPAL RT
LSIL FROM ANAL PAP SMEAR,LSIL FROM ANAL PAP SMEAR
RECTAL MUCOSAL PROLAPSE,RECTAL MUCOSAL PROLAPSE
HEMORRHOID WITH LGIB,HEMORRHOID WITH LGIB
PERFORATED CA SIGMOID C S P LOOP PROXIMAL TRANVERSE COLOSTOMY,PERFORATED CA SIGMOID C S P LOOP PROXIMAL TRANVERSE COLOSTOMY
CA RECTUM STAGE 4A,CA RECTUM STAGE 4A
CA RECTOSIGMOID S P AR,CA RECTOSIGMOID S P CMT
FRACTURE LEFT THUMB,FRACTURE LEFT THUMB
FIBROADRENOSIS,FIBROADRENOSIS
SUBCAPSULAR CONTRACTURE BOTH BREASTS,SUBCAPSULAR CONTRACTURE BOTH BREASTS
RUPTURE IMPLANT RT BREAST,RUPTURE IMPLANT RT BREAST
CA BLADDER AND CA URETER,CA BLADDER AND CA URETER
PSA 8 3,PSA 8 3
BILAT HYDRONEPHROSIS RT DJ MIGRATION,BILAT HYDRONEPHROSIS RT DJ MIGRATION
RT UPPER L2 LEVEL URETERIC STRICTURE,RT UPPER L2 LEVEL URETERIC STRICTURE
HYDRONEPHROSIS RT,LT HYDRONEPHROSIS
BPH WITH AUR WITH HEMATURIA,BPH WITH AUR WITH HEMATURIA
ACUTE LIMB ISCHEMIA LT LEG,ACUTE LIMB ISCHEMIA LT LEG
AVF STENOSIS MID ARM CEPHALIC VEIN,AVF STENOSIS MID CEPHALIC ARM
ESRD AVF THROMBOSE,ESRD THROMBOSED AVF
ESRD WITH AVF CUBITAL STENOSIS LT,ESRD WITH AVF CUBITAL STENOSIS LT
CONCEAL RUPTURED ABDOMINAL AORTIC ANUERYSM,CONCEAL RUPTURED ABDOMINAL AORTIC ANUERYSM
AVF STENOSIS LT WRIST,AVF STENOSIS LT WRIST
CVI AT BOTH LEGS,CVI BOTH LEGS
