variant,canonical
RF NOSE GA,RF NOSE LA
RT VP SHUNT,RT VP SHUNT
OPEN HERNIOPLASTY,OPEN RT HERNIOPLASTY
LT FESS,LT FESS
LT URSL,LT URSL
AVBG RT UPPER ARM,AVBG LT UPPER ARM
RIGHT MASTECTOMY WITH SLNB,RT MASTECTOMY WITH SLNB
LAPAROSCOPIC LAR,LAPAROSCOPIC LAR
AVF LEFT WRIST,AVF LT WRIST
OPEN RIGHT THYROID LOBECTOMY AND ISTHMECTOMY,OPEN RIGHT THYROID LOBECTOMY AND ISTHMECTOMY
RT CRANIOTOMY C TUMOR REMOVAL,CRANIOTOMY C TUMOR REMOVAL
EXCISION PARAFFINOMA,EXCISION PARAFFINOMA
CLOSURE ILEOSTOMY,CLOSURE COLOSTOMY
EGD AND COLONOSCOPY,EGD COLONOSCOPY
CORRECTURE UPPER EYELID,CORRECTURE UPPER EYELID
RE WIDE EXCISION,WIDE EXCISION
DJ STENT EXCHANGING,DJ STENT EXCHANGING
WHIPPLE OPERATION,WHIPPLE OPERATION
RT HERNIOPLASTY,RT HERNIOPLASTY
LEFT MASTECTOMY WITH SLNB,LEFT MASTECTOMY WITH SLNB
RT SUPERFICIAL PAROTIDECTOMY,RT SUPERFICIAL PAROTIDECTOMY
LT THYROID LOBECTOMY,LT THYROID LOBECTOMY
PERM CATH INSERTION,PERM CATH INSERTION
OFF TCC,OFF TCC
LAP LHC,LAP LHC
TEVAR,EVAR
MICRODL C EXCISION,MICRODL C EXCISION
BILATERAL VENASEAL,BILATERAL VENASEAL
DILATE URETHRA,DILATE URETHRA
EXCISIONAL DEBRIDEMENT OF WOUND INFECTION OR BURN,EXCISIONAL DEBRIDEMENT OF WOUND INFECTION OR BURN
LAMINECTOMY WITH PDS FIXATION L4 5,LAMINECTOMY WITH PDS FIXATION L4 5
OPEN CHOLECYSTECTOMY,OPEN CHOLECYSTECTOMY
MYRINGOPLASTY,MYRINGOPLASTY
OPEN LT HERNIOPLASTY,OPEN LT HERNIOPLASTY
EXCISIONAL DEBRIDEMENT,EXCISIONAL DEBRIDEMENT
LAP LEFT ADRENALECTOMY,LAP LEFT ADRENALECTOMY
EGD WITH COLONOSCOPY,EGD WITH COLONOSCOPY
LT VP SHUNT,RT VP SHUNT
TCC INSERTION AT RT IJV,TCC INSERTION AT RT IJV
EGD COLONOSOCPY,EGD COLONOSCOPY
LIPOSUCTION,LIPOSUCTION
BILAT ORCHIECTOMY,BILATERAL ORCHIECTOMY
WATER VAPOR THERAPY,WATER VAPOR THERAPY
ABDOMINAL TOILET C VAC DRESSING,ABDOMINAL TOILET C VAC DRESSING
PTA STENT,PTA STENT
CYSTOSCOPY REMOVE DJ STENT,CYSTOSCOPY REMOVE DJ STENT
EXCISION OR DESTRUCTION OF LESION OR TISSUE OF TONGUE,EXCISION OR DESTRUCTION OF LESION OR TISSUE OF TONGUE
EXCISION OF LEFT BREAST MASS,EXCISION LT BREAST MASS
SURVEILLANCE EGD COLONOSCOPY,SURVEILLANCE COLONOSCOPY
OPEN SUBTOTAL PARATHYROIDECTOMY,OPEN SUBTOTAL PARATHYROIDECTOMY
TONSILLECTOMY BSP RF NOSE,TONSILLECTOMY BSP RF NOSE
BILATERAL SIMPLE MASTECTOMY,BILATERAL SIMPLE MASTECTOMY
REVISION,REVISION
OPEN RIGHT HERNIOPLASTY,OPEN RT HERNIOPLASTY
FRENULECTOMY FRENECTOMY OR FRENOTOMY SEPERATE PROCEDURE,FRENULECTOMY FRENECTOMY OR FRENOTOMY SEPERATE PROCEDURE
TCC,TCC
BALLOON VENOPLASTY WITH STENT,BALLOON VENOPLASTY WITH STENT
EGD COLONSCOPY,EGD COLONOSCOPY
REVISE TCC LT IJV CENTROS,REVISE TCC RT IJV CENTROS
MRI FUSION BIOPSY,MRI FUSION BIOPSY
TONSILLECTOMY RF NOSE,TONSILLECTOMY BSP RF NOSE
RT CRANIOPLASTY,CRANIOPLASTY
CORRECTION UPPER AND LOWER EYELID,CORRECTION UPPER AND LOWER EYELID
BILAT LAP TAPP,BILAT LAP TAPP
PERCUTANEOUS EXCISION,PERCUTANEOUS EXCISION
TUR BT UNDER GA,TUR BT UNDER GA
OTHER EXCISION OF LESION OR TISSUE OF LIP,OTHER EXCISION OF LESION OR TISSUE OF LIP
RFA HEMORRHOIDOPLASTY,RFA HEMORRHOIDOPLASTY
LT MASTECTOMY WITH SLNB,LEFT MASTECTOMY WITH SLNB
LEFT TEP,LEFT TEP
LT CRANIOTOMY C TUMOR REMOVAL,CRANIOTOMY C TUMOR REMOVAL
BILAT FESS WITH NAVIGATOR,BILAT FESS WITH NAVIGATOR
BILATERAL EXTENDED SIMPLE MASTECTOMY,BILATERAL EXTENDED SIMPLE MASTECTOMY
LIGATE AVF LT CUBITAL,LIGATE AVF LT CUBITAL
RT THYROID LOBECTOMY,LT THYROID LOBECTOMY
LAP IPOM,LAP IPOM
CYSTO TUR BT UNDER IV SEDATION,CYSTO TUR BT UNDER IV SEDATION
REVISED TCC AT RT IJV,REVISE TCC RT IJV
ACDF C5 6 PEEK PLATE,ACDF C5 6 PEEK PLATE
MRI TRUS FUSION BIOPSY,MRI TRUS FUSION BIOPSY
LT URS L,LT URS L
WATER VAPOR THERAPY REZUM,WATER VAPOR THERAPY REZUM
LT HL WITH VS WITH PHLEBECTOMY,LT HL WITH VS WITH PHLEBECTOMY
AVF LT WRIST UNDER LA,AVF LT WRIST UNDER LA
DEBRIDEMENT RT LEG,DEBRIDEMENT RT LEG
FISTULECTOMY,FISTULECTOMY
AVF LT CUBITAL UNDER LA,AVF LT CUBITAL UNDER LA
CYSTOSCOPY WITH REMOVE DJ STENT,FLEX CYSTOSCOPY WITH REMOVE DJ STENT
LASER CYSTOLITHOTRIPSY,LASER CYSTOLITHOTRIPSY
RIGHT TEP,RIGHT TEP
LAP RADICAL NEPHRECTOMY,LAP RADICAL NEPHRECTOMY
CHEMOPORT REMOVAL,REMOVE CHEMOPORT
LAMINECTOMY WITH PDS FIXATION L4 5 MIS,LAMINECTOMY WITH PDS FIXATION L4 5
LT PCNL,LT PCNL
LEFT CRANIOTOMY WITH TUMOR REMOVAL,CRANIOTOMY WITH TUMOR REMOVAL
REVISE AVBG LT FOREARM,REVISE AVBG LT FOREARM
LAMINECTOMY WITH PDS FIXATION L345,LAMINECTOMY WITH PDS FIXATION L4 5
LOWER EYELID CORRECTION,CORRECTION OF EYELID
SEPTOTURBINOPLASTY,SEPTOTURBINOPLASTY
LT LAP TEP,LT LAP TEP
URETEROSTOMY EXCHANGING,URETEROSTOMY EXCHANGING
VAE OF RIGHT BREAST,VAE OF RIGHT BREAST
LAMINECTOMY C PDS FIXATION L2345,LAMINECTOMY C PDS FIXATION L2345
CYSTOSCOPY UNDER LA,CYSTOSCOPY UNDER LA
DLC TO TCC LT IJV,DLC TO TCC RT IJV
E C,E C
TUR P นอกเวลา,TUR P นอกเวลา
VAE OF LEFT BREAST,VAE OF LEFT BREAST
BILATERAL RFA,BILATERAL RFA
SUPERFICIALIZATION,SUPERFICIALIZATION
LT MRM,LT MRM
EL,EL
RT UPPER ARM LOOP AVBG,LT UPPER ARM LOOP AVBG
OPEN SIGMOIDECTOMY,OPEN SIGMOIDECTOMY
LT URSL DJ STENT,RT URSL DJ STENT
TCC RIGHT IJV,TCC RIGHT IJV
LAMINECTOMY C PDS FIXATION L345 MIS,LAMINECTOMY C PDS FIXATION L2345
TCC INSERTION RT IJV,TCC INSERTION AT RT IJV
BILAT FESS NAVIGATOR,BILAT FESS WITH NAVIGATOR
OPEN RT THYROIDECTOMY,OPEN RT THYROIDECTOMY
R4 R5 SYMPATHECTOMY,R4 R5 SYMPATHECTOMY
PARTIAL OR SUBTOTAL THYROIDECTOMY ISTHMECTOMY OTHER,PARTIAL OR SUBTOTAL THYROIDECTOMY ISTHMECTOMY OTHER
MIS TLIF L5 S1,MIS TLIF L5 S1
DLC RT IJV,DLC RT IJV
LOWER BLEPHAROPLASTY,LOWER BLEPHAROPLASTY
L4 S1 LAMINECTOMY WITH PDS FIXATION,LAMINECTOMY WITH PDS FIXATION L4 5
TRACHESOTOMY,TRACHEOSTOMY
LT BRACHIOCEPHLIC AVF,LT BRACHIOCEPHALIC AVF
REVISE TCC LT IJV PALINDROME,REVISE TCC RT IJV PALINDROME
OFF TK,OFF TK
LOWER BLEPHALOPLASTY,LOWER BLEPHAROPLASTY
LAP TAPP,LAP TAPP
STSG LT LEG,STSG LT LEG
TRACHOESTOMY,TRACHEOSTOMY
ENDOSCOPIC TUMOR REMOVAL,ENDOSCOPIC TUMOR REMOVAL
RT MYRINGOTOMY PE TUBE,RT MYRINGOTOMY PE TUBE
RT HL WITH VS WITH PHLEBECTOMY,LT HL WITH VS WITH PHLEBECTOMY
EXCISION BX,EXCISION BX
EXCISION OF RIGHT BREAST MASS,EXCISION RT BREAST MASS
AVF RT WRIST OR CUBITAL,AVF RT WRIST OR CUBITAL
RT MASTECTOMY C SLNB,RT MASTECTOMY C SLNB
REVISE AVF RT WRIST,REVISE AVF RT WRIST
OPEN LAR,OPEN LAR
STSG LT FOOT,STSG LT FOOT
REVISION SCAR,REVISION SCAR
WOUND IRRIGATION,WOUND IRRIGATION
EXCISION LT BREAST,EXCISION LT BREAST
TCC LEFT IJV,TCC LEFT IJV
PORT A CATH INSERTION,PORT A CATH INSERTION
VASECTOMY UNDER TIVA,VASECTOMY UNDER TIVA
LEFT URSL,LEFT URSL
BILAT FESS WITH NAVIGATOR WITH MICRODEBRIDER,BILAT FESS WITH MICRODEBRIDER WITH NAVIGATOR
ACDF C4 5 6 7 PEEK PLATE,ACDF C4 5 6 7 PEEK PLATE
INCISIONAL BIOPSY,EXCISIONAL BIOPSY
DLC TO TCC AT RT IJV,DLC TO TCC RT IJV
FISTULOGRAM LT,FISTULOGRAM PTA
REPAIR OF INDIRECT INGUINAL HERNIA,REPAIR OF INDIRECT INGUINAL HERNIA
REMOVE LT DJ STENT,REMOVE LT DJ STENT
TUF,TUF
STSG WITH VAC DRESSING,STSG WITH VAC DRESSING
LRP,LRP
ACDF C5 6,ACDF C5 6
LAPAROSCOPIC APR,LAPAROSCOPIC APR
TRUS BX UNDER TIVA,TRUS BX UNDER TIVA
REVISION OF TRACHEOSTOMY,REVISION OF TRACHEOSTOMY
LAP TAPP LT,LAP TAPP RT
FCYSTOSCOPY REMOVE JJ STENT,CYSTOSCOPY REMOVE DJ STENT
VASECTOMY UNDER IV SEDATION,VASECTOMY UNDER IV SEDATION
PERM RT IJV,PERM RT IJV
LAMINECTOMY WITH TUMOR REMOVAL,LAMINECTOMY WITH TUMOR REMOVAL
LT CRANIOTOMY WITH TUMOR REMOVAL,CRANIOTOMY WITH TUMOR REMOVAL
DILATE TIEMAN,DILATE TIEMAN
CYSTO TUR BT,CYSTO TUR BT
T A WITH COBLATOR,T A WITH COBLATOR
VACUUM DRESSING,VACUUM DRESSING
LT CUBITAL AVF,AVF LT CUBITAL
LT HERNIOPLASTY,RT HERNIOPLASTY
LIGASURE HEMORRHOIDECTOMY,LIGASURE HEMORRHOIDECTOMY
LT MASTECTOMY SLNB,LT MASTECTOMY SLNB
REMOVE AVBG,REMOVE AVBG
REMOVE RT DJ STENT,REMOVE RT DJ STENT
TCC LT IJV PALINDROME,TCC LT IJV PALINDROME
SUPERFICIALIZATION LT,SUPERFICIALIZATION
RIGHT MASTECOTMY WITH SLNB,RT MASTECTOMY WITH SLNB
LC OPTIME 2HR,LC OPTIME 2HR
BIOPSY OF MOUTH UNSPECIFIED STRUCTURE,BIOPSY OF MOUTH UNSPECIFIED STRUCTURE
EXCISION OF HYDROCELE OF TUNICA VAGINALIS,EXCISION OF HYDROCELE OF TUNICA VAGINALIS
UNILATERAL EXTENDED SIMPLE MASTECTOMY,UNILATERAL EXTENDED SIMPLE MASTECTOMY
OPEN RIGHT HEPATECTOMY,OPEN RIGHT HEPATECTOMY
ACDF C456 PEEK PLATE,ACDF C5 6 PEEK PLATE
DL BIOPSY,DL BIOPSY
RT HYDROCELECTOMY,RT HYDROCELECTOMY
NAIL EXTRACTION,NAIL EXTRACTION
LT BCT SLNB,LEFT BCT SLNB
VAC DRESSING,VACUUM DRESSING
CORRECTION UPPER LOWER EYELID,CORRECTION UPPER AND LOWER EYELID
CHEMO PORT INSERTION,CHEMO PORT INSERTION
EXCISION BREAST MASS,EXCISION LT BREAST MASS
FIPS,FIPS
DB STSG,DB STSG
LAP RT NEPHRECTOMY,LAP RT NEPHRECTOMY
LOOP PROXIMAL TRANSVERSE COLOSTOMY,LOOP PROXIMAL TRANSVERSE COLOSTOMY
LIGATE AVF,LIGATE AVF
THYROID ABLATION,THYROID ABLATION
LT HYDROCELECTOMY,RT HYDROCELECTOMY
LAP SUBTOTAL COLECTOMY,LAP SUBTOTAL COLECTOMY
REVISE AVF LT CUBITAL,REVISE AVF LT CUBITAL
CLOSED REDUCTION WITH K WIRE FIXATION,CLOSED REDUCTION WITH K WIRE FIXATION
STSG RT LEG,STSG LT LEG
LB,LB
OPEN LEFT ADRENALECTOMY,OPEN LEFT ADRENALECTOMY
DL C BX,DL C BX
SUBOCCIPITAL CRANIOTOMY WITH TUMOR REMOVAL,SUBOCCIPITAL CRANIOTOMY WITH TUMOR REMOVAL
PERMANENT TRACHEOSTOMY,PERMANENT TRACHEOSTOMY
LIGATE AVF RT WRIST,LIGATE AVF RT WRIST
ACDF C4 5,ACDF C4 5
EXCISION OF OTHER PARTS OF MOUTH,EXCISION OF OTHER PARTS OF MOUTH
FEEDING JEJUNOSTOMY,FEEDING JEJUNOSTOMY
LEFT MASTECOTMY WITH SLNB,LEFT MASTECTOMY WITH SLNB
CORRECTION LOWER EYELID,CORRECTION OF EYELID
TOTAL THYROIDECTOMY MEDIAN STERNOTOMY,TOTAL THYROIDECTOMY MEDIAN STERNOTOMY
OFF IVC FILTER,OFF IVC FILTER
LAMINECTOMY C PDS FIXATION L4 5 MIS,LAMINECTOMY C PDS FIXATION L4 5 MIS
CROSSOVER ANGIOPLASTY RT LEG,CROSSOVER ANGIOPLASTY RT LEG
DB VAC DRESSING,DB VAC DRESSING
