variant,canonical
CR WITH K WIRE FIXATION UNDER FLU RT LITTLE FINGER,CR WITH K WIRE FIXATION UNDER FLU RT LITTLE FINGER
REMOVAL OF ARCH BAR,REMOVAL OF ARCH BAR
STSG FTSG VAC DRESSING RIGHT HAND,STSG FTSG VAC DRESSING RIGHT HAND
LT PARIETAL CRANIOTOMY WITH TUMOR REMOVAL,LEFT PARIETAL CRANIOTOMY WITH REMOVE TUMOR
LAMINECTOMY L4 5 WITH DECOMPRESSION,LAMINECTOMY L4 5 WITH DECOMPRESSION
IMF,IMF
CORRECTION PTOSIS,PTOSIS CORRECTION
LEFT FRONTAL CRANIOTOMY TRANSCORTICAL TRANSVENTRICULAR APPROACH WITH TUMOR REMOVAL,LEFT FRONTAL CRANIOTOMY TRANSCORTICAL TRANSVENTRICULAR APPROACH WITH TUMOR REMOVAL
ORIF WTIH PAS WITH MMF,ORIF WITH PAS WITH MMF
REDO PALATOPLASTY,REDO PALATOPLASTY
MINI FACE LIFING,MINI FACE LIFTING
CYSTOSCOPY UNDER REZUM IV SEDATION,CYSTOSCOPY UNDER REZUM IV SEDATION
OPEN DRAINAGE ORCHIDECTOMY,OPEN DRAINAGE ORCHIDECTOMY
CYSTO TRUS BX,CYSTO TRUS BX
LAP RIGHT PYELOPLASTY WITH FLEXIBLE CYSTO WITH LASER RC,LAP RIGHT PYELOPLASTY WITH FLEXIBLE CYSTO WITH LASER RC
RT FLEXBLE RIRS นอกเวลา,RT FLEXBLE RIRS นอกเวลา
CYSTOSCOPY TURBT,CYSTOSCOPY TURBT
SKIN CLOSURE UNDER IV SEDATION,SKIN CLOSURE UNDER IV SEDATION
RIB RHINOPLASTY,RIB RHINOPLASTY
RT MASTECTOMY WITH RT SLNB,RT MASTECTOMY WITH SLNB
CHOLECYSTOGRAM UNDER LA,CHOLECYSTOGRAM UNDER LA
OPEN RIGHT SUBSTERNAL THYROIDECTOMY,OPEN RIGHT SUBSTERNAL THYROIDECTOMY
DEBRIDEMENT AT RT HIP,DEBRIDEMENT AT RT HIP
RT VAE,RT VAE
RIGHT BCT SLNB DUAL TRACER,RIGHT BCT SLNB DUAL TRACER
LT PARIETAL CRANIOTOMY WITH REMOVE TUMOR,LEFT PARIETAL CRANIOTOMY WITH REMOVE TUMOR
RT BCT TAD,RT BCT TAD
DB WITH VACCUMUM DRESSING,DB WITH VACCUMUM DRESSING
VABE L9 UNDER TIVA,VABE L9 UNDER TIVA
RIGHT BREAST MASS EXCISION,EXCISION RT BREAST MASS
NEEDLE LOCALIZED EXCISION RT BREAST,NEEDLE LOCALIZED EXCISION RT BREAST
MINI CRANIECTOMY,MINI CRANIECTOMY
LT CRANIECTOMY C REMOVE HEMATOMA,LT CRANIECTOMY C REMOVE HEMATOMA
LT EMMM,LT EMMM
DB C IRRIGATION C5 6 C PLATE REMOVAL,DB C IRRIGATION C5 6 C PLATE REMOVAL
ACDF C4 6 PEEK PLATE,ACDF C5 6 PEEK PLATE
ACDF C4 7 PEEK PLATE,ACDF C4 5 6 7 PEEK PLATE
ACDF C4 7 DIVA,ACDF C6 7 DIVA
LAMINECTOMY C PDS FIXATION L3 4,LAMINECTOMY C PDS FIXATION L3 4 5 S1
RE TRANSSPHENOID APPROACH C TUMOR REMOVAL,RE TRANSSPHENOID APPROACH C TUMOR REMOVAL
PDS FIXATION L1 3 CROSS LINK,PDS FIXATION L1 3 CROSS LINK
ACDF C3 7 DIVA,ACDF C6 7 DIVA
T10 L2 PDS FIXATION,T11 L3 PDS FIXATION
LAMINECTOMY C PDS FIXATION L3 S1,LAMINECTOMY C PDS FIXATION L3 4 5 S1
TWO BURR HOLE,TWO BURR HOLE
LT FESS BILAT TURBINOPLASTY NAVIGATOR,LT FESS BILAT TURBINOPLASTY NAVIGATOR
LEFT CRANIOTOMY WITH HEMATOMA REMOVALL,LEFT CRANIOTOMY WITH HEMATOMA REMOVALL
BILAT FESS WITH NAVIGOTOR WITH MICRODEBRIDER,BILAT FESS WITH MICRODEBRIDER WITH NAVIGATOR
MIS TLIF L3 4 L4 5,MIS TLIF L3 4 L4 5
1ST STAGE EXCISION PARAFINOMA,1ST STAGE EXCISION PARAFINOMA
HEMORROIDECTOMY POLYPECTOMY,HEMORRHOIDECTOMY AND POLYPECTOMY
LIS RBL,LIS RBL
LIS FISTULTOMY,LIS FISTULECTOMY
OPEN RHC IOUS,OPEN RHC IOUS
RIGHT TRANSVERS COLOSTOMY,RIGHT TRANSVERS COLOSTOMY
COLOSTOMY REVISION,REVISE COLOSTOMY
RFA HEMORRHOIDOPLASTY LIS,RFA HEMORRHOIDOPLASTY
URETERIC CATH TUMOR RESECTION HIPEC,URETERIC CATH TUMOR RESECTION HIPEC
EGD COLONOSCOPY HERNIA REPAIR,EGD COLONOSCOPY HERNIA REPAIR
BALLOON ANGIOPLASTY เตรียมเงิน 20000,BALLOON ANGIOPLASTY เตรียมเงิน 20000
REVISE LT PERM CATH,REVISE LT PERM CATH
REMOVE TCC C DLC LT,REMOVE TCC C DLC LT
REVISE TCC CENTROS,REVISE TCC CENTROS
ANGIOGRAM BALLON RT LEG,ANGIOGRAM BALLON RT LEG
PANCREATODUODENECTOMY,PANCREATODUODENECTOMY
PTFE GRAFT INTERPOSITION BETWEEN LT BRACHIAL A TO CEPHALIC VEIN,PTFE GRAFT INTERPOSITION BETWEEN LT BRACHIAL A TO CEPHALIC VEIN
LUL LOBECTOMY,LUL LOBECTOMY
VATS WITH PLEURODESIS,VATS WITH PLEURODESIS
LAP FUNDOPLICATION WITH GASTROSTOMY,LAP FUNDOPLICATION WITH GASTROSTOMY
EGD OPTIME 15 MIN,EGD OPTIME 15 MIN
LT BIG TOE AMPUTATION,AMPUTATION RIGHT BIG TOE
EGD COLONOSCOPE OPTIME45MIN,EGD COLONOSCOPE OPTIME45MIN
LC OPTIME2HR,LC OPTIME2HR
EGD CLO TEST,EGD CLO TEST
LC OPTIME 2 5HR,LC OPTIME 2HR
LC WITH EXCISION PARATHYROID AT RIGHT FOREARM OPTIME3 HR,LC WITH EXCISION PARATHYROID AT RIGHT FOREARM OPTIME3 HR
RIEVISED STUMP DEBRIDEMENT,RIEVISED STUMP DEBRIDEMENT
EXCISION OPTIME1HR,EXCISION OPTIME1HR
EGD C REMOVE FB,EGD C REMOVE FB
TOETVA ISTHMUSECTOMY,TOETVA ISTHMUSECTOMY
LIGATE CEPHALIC VEIN,LIGATE CEPHALIC VEIN
TPSL2 S1 C DECOMPRESSION,TPSL2 S1 C DECOMPRESSION
LAMINECTOMY C DISCECTOMY L4 5 C PDS FIXATION,LAMINECTOMY C DISSECTOMY C PDS FIXATION L3 4 5
TRACHEOSTOMY C EVD LEFT FRONTAL,TRACHEOSTOMY C EVD LEFT FRONTAL
CRANIOPLASTY C VP SHUNT,CRANIOPLASTY C VP SHUNT
STOMAL REVISION,STOMAL REVISION
DL C FB REMOVAL,DL C FB REMOVAL
I AND D LT PINNA,I AND D LT PINNA
EXCISION TONGUE MASS,EXCISION TONGUE MASS
TRACHEOSTOMY C DL C TA INJECTION,TRACHEOSTOMY C DL C TA INJECTION
CLOSED [ENDOSCOPIC] [NEEDLE] BIOPSY OF NASAL SINUS,CLOSED [ENDOSCOPIC] [NEEDLE] BIOPSY OF NASAL SINUS
TOTAL THYROIDECTOMY WITH RT MRND,TOTAL THYROIDECTOMY WITH RT MRND
DEBRIDEMENT INTEGRA PLACEMENT,DEBRIDEMENT INTEGRA PLACEMENT
DEBRIDEMENT WITH STSG,DEBRIDEMENT WITH STSG
FTSG AT LT LOWER EYELID C LATERAL CANTHOPEXY,FTSG AT LT LOWER EYELID C LATERAL CANTHOPEXY
VACCUM DRESSING,VACUUM DRESSING
EXCISION CIRCUMCISION,EXCISION CIRCUMCISION
ORIF C BONE GRAFT 1 ST MCP,ORIF C BONE GRAFT 1 ST MCP
CYSTOSCOPY WITH HALFMOON SHEATH,CYSTOSCOPY WITH HALFMOON SHEATH
LT URS L WITH YEARLY DJ STENT,LT URS L WITH YEARLY DJ STENT
URETHROSCOPY,URETHROSCOPY
LT RP DJ STENT,LT RP DJ STENT
MRI TRUS FUSION BX,MRI FUSION TRUS BX
OPEN LT RADICAL NEPHRECTOMY,OPEN RT RADICAL NEPHRECTOMY
TUR P C URSL LT,TUR P C URSL LT
LAP URETEROLITHOTOMY LT,LAP URETEROLITHOTOMY LT
CYSTO DILTATE,CYSTO DILTATE
RADICAL RIGHT ORCHIDECTOMY,RT RADICAL ORCHIECTOMY
CYSTOSCOPY ขอเคสแรกครับ,CYSTOSCOPY ขอเคสแรกครับ
URETHROTOMY,URETHROTOMY
LEFT VARICOCELECTOMY,LT VARICOCELECTOMY
FLEXIBLE URS LASER LITHOTRIPSY,FLEXIBLE URS LASER LITHOTRIPSY
DEBRIDEMENT PARTIAL CALCANECTOMY LT FOOT,DEBRIDEMENT PARTIAL CALCANECTOMY LT FOOT
TRACHESOTOMY DL,TRACHESOTOMY DL
TONSILLECTOMY BSP GA,TONSILLECTOMY BSP GA
EXCISION UNDER MICROSCOPE,EXCISION UNDER MICROSCOPE
DB VAC DRESSING LT LEG,DB VAC DRESSING LT LEG
BURR BONE LT LEG C VAC DRESSING,BURR BONE LT LEG C VAC DRESSING
STSG AT LT LEG VAC DRESSING,STSG AT LT LEG VAC DRESSING
STSG LT LEG VAC DRESSING,STSG AT LT LEG VAC DRESSING
EXPLORELAP REPAIR BLADDER,EXPLORELAP REPAIR BLADDER
FLEXIBLE CYSTOSCOPE CHANGE CYSTOSTOMY,FLEXIBLE CYSTOSCOPE CHANGE CYSTOSTOMY
1 STAGE EXCISION PARAFFINOMA,1ST STAGE EXCISION PARAFINOMA
SCROTAL OPENING FOR VASECTOMY,SCROTAL OPENING FOR VASECTOMY
RT FLEX URS WITH LASER LITHOTRIPSY,RT FLEX URS WITH LASER LITHOTRIPSY
LEFT RP,LEFT RP
CYSTOSCOPE C IRRIGATE BLADDER C TRUS BX,CYSTOSCOPE C IRRIGATE BLADDER C TRUS BX
EXCISIONAL BIOPSY UNDER SA,EXCISIONAL BIOPSY UNDER GA
AMPUTATION RT TOES OP TIME 1 5 HR,AMPUTATION RT TOES OP TIME 1 5 HR
FLEXBILE CYSTOSCOPY,FLEXIBLE CYSTOSCOPY
OPEN INGUINAL SPERMATIC CORD TUMOR REMOVAL ORCHIECTOMY,OPEN INGUINAL SPERMATIC CORD TUMOR REMOVAL ORCHIECTOMY
SURVEILLANCE COLONO,SURVEILLANCE COLONOSCOPY
COLONOSCOPY OPD CASE,COLONOSCOPY OPD CASE
EGD COLONOSCOPY REMORE PORT A,EGD COLONOSCOPY REMORE PORT A
PEG,PEG
REVISE OSTOMY END TRANSVERSE COLOSTOMY,REVISE OSTOMY END TRANSVERSE COLOSTOMY
LIS HEMORRHOIDECTOMY,HEMORRHOIDECTOMY
LIS FISTULOTOMY,LIS FISTULECTOMY
OPEN SIGMOIDECTOMY WITH WEDGE BLADDER WITH URITERIC STENT,OPEN SIGMOIDECTOMY WITH WEDGE BLADDER WITH URITERIC STENT
LAP VENTRAL RECTOPLEXY,LAP VENTRAL RECTOPEXY
URETERIC STENT TUMOR REMOVAL CHOLECYSTECTOMY HIPEC,URETERIC STENT TUMOR REMOVAL CHOLECYSTECTOMY HIPEC
WOUND DEBRIDEMENT SUTURE,DEBRIDEMENT WITH SUTURE WOUND
AMPUTATION OF RT BIG TOE,AMPUTATION OF RT BIG TOE
SUPERFICIALIZATION BASILLIC VEIN,SUPERFICIALIZATION BASILLIC VEIN
EXCISION PARAFINAMOA,EXCISION PARAFFINOMA
LIFT CIS,LIFT CIS
VACNB LT BREAST MASS,VACNB LT BREAST MASS
EXCHANGE TISSUE EXPANDER,EXCHANGE TISSUE EXPANDER
WIDE EXCISION OF BREAST,WIDE EXCISION OF LEFT BREAST
REPAIR OF DIRECT INGUINAL HERNIA WITH GRAFT OR PROSTHESIS,REPAIR OF DIRECT INGUINAL HERNIA WITH GRAFT OR PROSTHESIS
BILAT VENOUS STRIPPING,BILAT VENOUS STRIPPING
LT MICRODOCHECTOMY,LEFT MICRODOCHECTOMY
EXCISION FISTULA TRACT SMALL BOWEL REPAIR,EXCISION FISTULA TRACT SMALL BOWEL REPAIR
TRACHEOSTOMY OPTIME 1HR,TRACHEOSTOMY OPTIME 1HR
BILATERAL MASTECTOMY C IMPLANT RECONSTRUCTION C SLNB,BILATERAL MASTECTOMY C IMPLANT RECONSTRUCTION C SLNB
OPEN RIGHT HERNIOPLASTY OPTIME1 5HR,OPEN RT HERNIOPLASTY OPTIME1 5HR
AMPUTATION LT TOE OP TIME 1 HR,AMPUTATION LT TOE OP TIME 1 HR
SISTRUNK OPERATION WITH LEFT THYROIDECTOMY,SISTRUNK OPERATION WITH LEFT THYROIDECTOMY
PERM,PERM
PEG WITH DL BIOPSY,PEG WITH DL BIOPSY
EXCISION MASS LOWER LIP,EXCISION MASS LOWER LIP
BITERAL FESS UNDER GA,BILATERAL FESS UNDER GA
RF NOSE UNDER LA,RF NOSE UNDER LA
LT ENDOSCOPIC TYMPANOPLASTY TEMPORALIS FASCIA GRAFT,RT ENDOSCOPIC TYMPANOPLASTY TEMPORALIS FASCIA
REMOVE SILICONE NOSE,REMOVE SILICONE NOSE
LT MYRINGOTOMY C PE TUBE,LT MYRINGOTOMY C PE TUBE
RT ENDOSCOPIC TYMPANOPLASTY TEMPORALIS FASCIA GRAFT,RT ENDOSCOPIC TYMPANOPLASTY TEMPORALIS FASCIA
RT CRANIOTOMY WITH TUMOR REMOVAL WITH ORBITAL RECONSTRCTION,RT CRANIOTOMY WITH TUMOR REMOVAL WITH ORBITAL RECONSTRCTION
EXPORELAP FOR SIGMOIDECTOMY WITH HARTMANN'S,EXPORELAP FOR SIGMOIDECTOMY WITH HARTMANN'S
LAMINECTOMY L3 S1 WITH PDS FIXATION,L3 4 LAMINECTOMY WITH L3 S1 PDS FIXATION
ACDF C56 WITH ANTERIOR PLATE AND SCREW FIXATION,ACDF C56 WITH ANTERIOR PLATE AND SCREW FIXATION
L3 5 LAMINECTOMY C NERVE ROOT DECOMPRESSION C PDS FIXATION,L3 5 LAMINECTOMY C NERVE ROOT DECOMPRESSION C PDS FIXATION
ACDF C3 4 C4 5 C5 6,ACDF C3 4 C4 5 C5 6
CRANIOTOMY WITH CLIPPING ANEUTYSM,LT CRANIOTOMY WITH CLIPPING ANEURYSM
RT SIDE VP SHUNT C REMOVE VENTRICULOSTOMY,RT SIDE VP SHUNT C REMOVE VENTRICULOSTOMY
LEFT HERNIA REPAIR WITH MESH,LEFT HERNIA REPAIR WITH MESH
R4 5 SYMPHATECTOMY,R4 5 SYMPATHECTOMY
L345 LAMINECTOMY WITH PDS FIXATION,LAMINECTOMY WITH PDS FIXATION L4 5
DEBRIDEMENT LT LEG WITH CHANGE VACUUM,DEBRIDEMENT LT LEG WITH CHANGE VACUUM
RT THYROIDLOBECTOMY,RT THYROIDLOBECTOMY
PELVIC EXEN S3 SACRECTOMY,PELVIC EXEN S3 SACRECTOMY
PD,PD
EL RESECTION MASS AT LT PSOASMUSCLE CYSTOSCOPE FOR URETERIC STENT,EL RESECTION MASS AT LT PSOASMUSCLE CYSTOSCOPE FOR URETERIC STENT
EXCISION OF NIPPLE BOTH BREAST,EXCISION OF NIPPLE BOTH BREAST
RIGHT MASTECTOMY SLNB WITH LEFT PROPHYLAXIS MASTECTOMY,RIGHT MASTECOTMY WITH SLNB LEFT PROPHYLAXIS MASTECTOMY
DB WET D S,DB WET D S
LEFT NSM IMPLANT RECONSTRUCTION SLNB,LEFT NSM IMPLANT RECONSTRUCTION SLNB
CHEMO PORT,CHEMOPORT
CHENOPORT INSERTION,CHEMOPORT INSERTION
DLC TO TCC RT FV,DLC TO TCC RT IJV
EXCISION WITH BOWEL REPAIR,EXCISION WITH BOWEL REPAIR
ERCP REMOVE PLASTIC STENT LC,ERCP REMOVE PLASTIC STENT LC
LEFT CRANIECTOMY C DEBRIDEMENT,LEFT CRANIECTOMY C DEBRIDEMENT
LAMINECTOMY WITH PDS FIXATION TURKEY,LAMINECTOMY WITH PDS FIXATION TURKEY
L2 5 PDS FIXATION,L2 5 PDS FIXATION
SOC C TUMOUR REMOVAL,SOC C TUMOR REMOVAL
LAMINECTOMY L4 S1 WITH DISSECTOMY PDS FIXATION,L4 5 LAMINECTOMY WITH DISCECTOMY PDS FIXATION TLIF
LAMINECTOMY WITH PDS FIXATION L2 L5,LAMINECTOMY WITH PDS FIXATION L4 5
PDS FIXATION L4 5,L2 5 PDS FIXATION
L4 S1 LAMINECTOMY WITH DISCECTOMY PDS FIXATION,L4 5 LAMINECTOMY WITH DISCECTOMY PDS FIXATION TLIF
LAMINECTOMY WITH PEDICULAR SCREW FIXATION L45S1,LAMINECTOMY WITH PEDICULAR SCREW FIXATION L45S1
LAMINECTOMY WITH PDS L4 5,LAMINECTOMY WITH PDS L4 5
ACDF C345 PEEK PLATE,ACDF C5 6 PEEK PLATE
EXCISION LIPOMA WITH UNTETHERING SPINAL CORD,EXCISION LIPOMA WITH UNTETHERING SPINAL CORD
SUBOCCIPITAL CRANIECTOMY RIGHT MICROVASCULAR DECOMPRESSION MVD,SUBOCCIPITAL CRANIECTOMY RIGHT MICROVASCULAR DECOMPRESSION MVD
MICRODISECECTOMY L4 5,MICRODISECECTOMY L4 5
VP SHUNT WITH TRACHEOOSTOMY,VP SHUNT WITH TRACHEOOSTOMY
REPEAT DL BX GA,REPEAT DL BX GA
RT MMA GA,RT MMA GA
BILATERAL EVD,BILATERAL EVD
CYSTOSCOPE C RETROGRADE URETHEROGRAM,CYSTOSCOPE C RETROGRADE URETHEROGRAM
URETEROSTOMY TUBE EXCHANGING,URETEROSTOMY EXCHANGING
FIRST STAGE EXCISION PARAFFINOMA,FIRST STAGE EXCISION PARAFFINOMA
TUR BT LATERAL WALL,TUR BT LATERAL WALL
DJ STENT EXCHANGING สายปี,DJ STENT EXCHANGING สายปี
CYSTOSCOPE C IRRIGATION,CYSTOSCOPE C IRRIGATION
FLEXIBLE CYSTOSCOPY DILATE URETHRA LA,FLEXIBLE CYSTOSCOPY DILATE URETHRA
RIGHT RADICAL ORCHIDECTOMY,RT RADICAL ORCHIECTOMY
CYSTOCCOPE,CYSTOSCOPE
SUTURE WOUND EL,SUTURE WOUND
COLONOSCOPE LIS EXCISION,COLONOSCOPE LIS EXCISION
OPEN LAR VAGINECTOMY DIVERT LOOP TRANSVERSE COLOSTOMY,OPEN LAR VAGINECTOMY DIVERT LOOP TRANSVERSE COLOSTOMY
LAP RHC WITH CHOLECYSTECTOMY,LAP RHC WITH CHOLECYSTECTOMY
DEBRIDEMENT OF PERINEAL WOUND,DEBRIDEMENT OF PERINEAL WOUND
LAPAROSCOPIC ERHC TK REMOVAL,LAPAROSCOPIC ERHC TK REMOVAL
RETENTION SUTURE,RETENTION SUTURE
DEBRIDEMENT VACUUM DRESSING,DEBRIDEMENT C VACUUM DRESSING
DEBRIDEMENT CHANGE VACCUM DRESSING,CHANGE VACUUM DRESSING WITH DEBRIDEMENT
SET OR FOR TOTAL PARATHYROIDECTOMY WITH AUTOIMPLATATION,SET OR FOR TOTAL PARATHYROIDECTOMY WITH AUTOIMPLATATION
DEBRRIDEMENT,DEBRIDEMENT
COLONOSCOPY HEMORRHOIDECTOMY,EGD COLONOSCOPY HEMORRHOIDECTOMY
EGD CHANGE GASTROSTOMY,EGD CHANGE GASTROSTOMY
OPEN EXTENDED RIGH HEMICOLECTOMY,OPEN EXTENDED RIGH HEMICOLECTOMY
DLC C TK INSERTION,DLC C TK INSERTION
DRESSING WOUND AND DEBRIDEMENT,DRESSING WOUND AND DEBRIDEMENT
SUPRASTERNAL INCISION WITH INCISIONAL BIOPSY,SUPRASTERNAL INCISION WITH INCISIONAL BIOPSY
RT THORACOTOMY WITH INCISIONAL BIOPSY MASS AT SVC,RT THORACOTOMY WITH INCISIONAL BIOPSY MASS AT SVC
VATS DECORTICATION LT LUNG,VATS DECORTICATE LEFT LUNG
ANTERIOR MINITHORACOTOMY WITH PERICARDIAL BIOPSY PLEURO PERICARDIAL WINDOW,ANTERIOR MINITHORACOTOMY WITH PERICARDIAL BIOPSY PLEURO PERICARDIAL WINDOW
LIGATE AVF ANEURYSMECTOMY,ANEURYSMECTOMY LT AVF
PERM CATH AT RT IJV LIGATE LT CUBITAL AVF,PERM CATH AT RT IJV LIGATE LT CUBITAL AVF
TCC RT EJV AVF LT CUBITAL,TCC RT EJV AVF LT CUBITAL
WIDE EXCISION RIGHT BREAST MASS,WIDE EXCISION OF RIGHT BREAST
EGD DILATATION OPTIME30MIN,EGD DILATATION OPTIME30MIN
COLONOSCOPY OPTIME30MIN,COLONOSCOPY OPTIME30MIN
OPEN LT HERNIOPLASTY OPTIME1 5HR,OPEN RT HERNIOPLASTY OPTIME1 5HR
LAPAROSCOPIC LYSIS ADHESION AND HYSTERECTOMY,LAPAROSCOPIC LYSIS ADHESION AND HYSTERECTOMY
LT BCT WITH ALND,LT BCT WITH ALND
WIDE EXCISION LEFT BREAST MASS,WIDE EXCISION OF LEFT BREAST
LAPAROSCOPIC LYSIS ADHESION EL WITH COMPOSITE MESH,LAPAROSCOPIC LYSIS ADHESION EL WITH COMPOSITE MESH
INTRAOPERATIVE COLONOSCOPY OPEN SIGMOIDECTOMY,INTRAOPERATIVE COLONOSCOPY OPEN SIGMOIDECTOMY
ENBLOC TUMOR RESECTION,ENBLOC TUMOR RESECTION
OPEN RT THYROID LOBECTOMY,OPEN RIGHT THYROID LOBECTOMY
PTA AT AVF RIGHT CUBITAL,PTA AT AVF RIGHT CUBITAL
OPEN EXTENDED CHOLECYSTECTOMY,OPEN EXTENDED CHOLECYSTECTOMY
TOTAL THYROIDECTOMY OPEN RT HERNIOPLASTY,TOTAL THYROIDECTOMY OPEN RT HERNIOPLASTY
REPAIR HERNIA,REPAIR HERNIA
RT OPEN THYROIDECTOMY FOLLICULAR NEOPLASM HURTHLE CELL TYPE,RT OPEN THYROIDECTOMY FOLLICULAR NEOPLASM HURTHLE CELL TYPE
TRACHEOSTOMY WITH DIRECT LARYNGOSCOPE BIOPSY,TRACHEOSTOMY WITH DIRECT LARYNGOSCOPE BIOPSY
OPEN ABD WALL HERNIA REPAIR,OPEN ABD WALL HERNIA REPAIR
RT NSM SLNB WITH PREPECTORAL IMPLANT RECONSTRUCTION,RT NSM SLNB WITH PREPECTORAL IMPLANT RECONSTRUCTION
WIDE EXCISON PRONE POSITION,WIDE EXCISON PRONE POSITION
OPEN SPLENECTOMY,OPEN SPLENECTOMY
LAP DIAGNOSTIC BIOPSY,LAP DIAGNOSTIC BIOPSY
EGD WITH REMOVE STENT,EGD WITH REMOVE STENT
ACDF C3 4 5 PEEK PLATE,ACDF C3 4 5 PEAK PLATE
LAMINECTOMY C3 7 C LATERALNESS SCREW,LAMINECTOMY C3 7 C LATERALNESS SCREW
LAMINECTOMY C FIXATION C TUMOR REMOVAL L1 4,LAMINECTOMY C FIXATION C TUMOR REMOVAL L1 4
CORPECTOMY C5 C REMOVE EPIDURAL MASS C ANTERIOR CERVICAL FIXATION C4 6,CORPECTOMY C5 C REMOVE EPIDURAL MASS C ANTERIOR CERVICAL FIXATION C4 6
CRANIOTOMY C TUMORE REMOVA C CLIPPING RT MCA ANEURYSML,CRANIOTOMY C TUMORE REMOVA C CLIPPING RT MCA ANEURYSML
TRACHEOSTOMY C VP SHUNT MEDIUM PRESSURE,TRACHEOSTOMY C VP SHUNT MEDIUM PRESSURE
ANT CERVICAL CORPECTOMY C5 WITH REMOVAL DISC C4 5 C5 6,ANT CERVICAL CORPECTOMY C5 WITH REMOVAL DISC C4 5 C5 6
L4 S1 LAMINECTOMY C PDS FIXATION,LAMINECTOMY C PDS FIXATION L3 4 5 S1
VENTRICULOSTOMY RIGHT SIDE,VENTRICULOSTOMY RIGHT SIDE
VACNB,VACNB
EXCISION AND CAUTRIZATION,EXCISION AND CAUTRIZATION
DEBRIDEMENT C FLAP AT RT BOTTOCK,DEBRIDEMENT C FLAP AT RT BOTTOCK
DEBRIDEMENT C STSG RT LEG AND FOOT,DEBRIDEMENT C STSG RT LEG AND FOOT
MR FUSION PROSTATE BIOPSY,MR FUSION PROSTATE BIOPSY
FLEXIBLE CYSTOCSOPE SURVEILLANCE,FLEXIBLE CYSTOSCOPY SURVEILLANCE
FLEXIBLE CYSTOSCOPE SURVIALLANCE,FLEXIBLE CYSTOSCOPY SURVEILLANCE
DILATE URETHRA WITH FLEXIBLE CYSTOSCOPE,FLEXIBLE CYSTOSCOPY DILATE URETHRA
TURP C CIRCUMCISION,TURP C CIRCUMCISION
LT URETEROSTOS TUBE EXCHANGING UNDER LA,LT URETEROSTOS TUBE EXCHANGING UNDER LA
OPEN URETEROLITHOTOMY,URETEROLITHOTOMY LT OPEN
ANTEGRADE FLEXIBLE CYSTOSCOPE WITH LT URSL,ANTEGRADE FLEXIBLE CYSTOSCOPE WITH LT URSL
LEFT URSL WITH RIGHT RP,LEFT URSL WITH RIGHT RP
URS L,URS L
PENILE PROSTHESIS IMPLANTATION,PENILE PROSTHESIS IMPLANTATION
CYSTOSCOPE UNDER LA,CYSTOSCOPY UNDER LA
EGD WITH STRICTUROPLASTY,EGD WITH STRICTUROPLASTY
MEDIAN STERNOTOMY WITH PERICARDIECTOMY,MEDIAN STERNOTOMY WITH PERICARDIECTOMY
TOTAL THYMECTOMY,TOTAL THYMECTOMY
REMOVE GRAFT DLC RT IJV,REMOVE GRAFT DLC RT IJV
LIGATE AVF WITH TCC LT IJV CENTROS,LIGATE AVF TCC RT IJV CENTROS
TCC RT EJV HEMOFLOW,TCC RT EJV HEMOFLOW
OPEN SUBTOTAL COLECTOMY HIPEC,OPEN SUBTOTAL COLECTOMY HIPEC
ALTIMIER OPERATION,ALTIMIER OPERATION
CYSTOSCOPE WITH EXCISIONAL BIOPSY PENILE MASS,CYSTOSCOPE WITH EXCISIONAL BIOPSY PENILE MASS
LAP SIGMOIDECTOMY LC MRI TRUS BIOPSY,LAP SIGMOIDECTOMY LC MRI TRUS BIOPSY
REMOVA CHEMOPORT,REMOVE CHEMOPORT
LAP LAR CAA,LAP LAR CAA
LAP AR WEDGE S6,LAP AR WEDGE S6
EGD WITH COLONOSCOPE,EGD WITH COLONOSCOPY
EGD COLONOSCOPY TATTOOING POST EMR EMR,EGD COLONOSCOPY TATTOOING POST EMR EMR
SURVEILLANCE COLONOSCOPE,SURVEILLANCE COLONOSCOPY
FLEX URS WITH LASER LITHOTRIPSY,RT FLEX URS WITH LASER LITHOTRIPSY
ANAL DILATE,ANAL DILATE
LT BCT WITH SLNB WITH EXCISION R5 MASS,LT BCT WITH SLNB WITH EXCISION R5 MASS
OPEN COMPLETION LEFT THYROIDECTOMY WITH LEFT CND AND FROZEN SECTION LYMPH NODE LEVEL 3 AT LEFT SIDE LEFT MRND,OPEN COMPLETION LEFT THYROIDECTOMY WITH LEFT CND AND FROZEN SECTION LYMPH NODE LEVEL 3 AT LEFT SIDE LEFT MRND
TOTAL TOETVA AUS WITH TRIRADS 5,TOTAL TOETVA AUS WITH TRIRADS 5
WEDGE LIVER SEGMENT7 RESECTION,WEDGE LIVER SEGMENT7 RESECTION
OPEN LEFT LOWER PARATHYROIDECTOMY LEFT UPPER PARATHYROIDECTOMY,OPEN LEFT LOWER PARATHYROIDECTOMY LEFT UPPER PARATHYROIDECTOMY
OPEN REVISION NECK UNDER GA,OPEN REVISION NECK UNDER GA
INCISIONAL BIOSY AT LT NECK,INCISIONAL BIOSY AT LT NECK
OPEN TOTAL THYROIDECTOMY UNCONTROLLED,OPEN TOTAL THYROIDECTOMY UNCONTROLLED
